NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,Throughput,Size
1,Sequence,10000,1202118.6,120.211,60.1055,266198.6,4
1,Vector,10,225383.78,22538.38,11269.19,567920100,1600000
1,Hashmap,10,844896.94,84489.695,42244.848,16938302,178889
2,Sequence,20000,2443594,122.179,61.0895,261910.8,4
2,Vector,20,747578.25,37378.91,18689.455,342439070,1600000
2,Hashmap,20,1749998.6,87499.93,43749.965,16355579,178889
3,Sequence,30000,3468603.5,115.62,57.81,276768.72,4
3,Vector,30,1331642.1,44388.066,22194.033,288365800,1600000
3,Hashmap,30,3084489.8,102816.33,51408.164,13919112,178889
4,Sequence,40000,4720584.5,118.014,59.007,271154.25,4
4,Vector,40,2225943,55648.58,27824.29,230014860,1600000
4,Hashmap,40,4879519.5,121987.99,60993.996,11731581,178889
5,Sequence,50000,6372545.5,127.45,63.725,251078.86,4
5,Vector,50,3570430.5,71408.61,35704.305,179250100,1600000
5,Hashmap,50,5597274.5,111945.484,55972.742,12784008,178889
6,Sequence,60000,7353484.5,122.55801,61.279003,261100.86,4
6,Vector,60,4877616,81293.6,40646.8,157453970,1600000
6,Hashmap,60,7875704,131261.72,65630.86,10902737,178889
7,Sequence,70000,8608664,122.979996,61.489998,260204.92,4
7,Vector,70,7102571,101465.29,50732.645,126151510,1600000
7,Hashmap,70,10121485,144592.64,72296.32,9897544,178889
8,Sequence,80000,10066946,125.836,62.918,254299.25,4
8,Vector,80,8847615,110595.19,55297.594,115737400,1600000
8,Hashmap,80,12219153,152739.4,76369.7,9369632,178889
9,Sequence,90000,12567616,139.64,69.82,229160.69,4
9,Vector,90,10739755,119330.6,59665.3,107265020,1600000
9,Hashmap,90,17858810,198431.2,99215.6,7212131.5,178889
10,Sequence,100000,12864263,128.642,64.321,248752.34,4
10,Vector,100,13692292,136922.9,68461.45,93483256,1600000
10,Hashmap,100,18061638,180616.38,90308.19,7923489.5,178889
1,Sequence,10000,1211734.5,121.173,60.5865,264085.25,4
1,Vector,10,215840.2,21584.021,10792.011,593031300,1600000
1,Hashmap,10,756149.3,75614.93,37807.465,18926316,178889
2,Sequence,20000,2257431.8,112.871,56.4355,283509.5,4
2,Vector,20,643687.25,32184.36,16092.18,397708700,1600000
2,Hashmap,20,1877552.8,93877.64,46938.82,15244439,178889
3,Sequence,30000,3628394.5,120.946,60.473,264580.88,4
3,Vector,30,1385970.3,46199.008,23099.504,277062200,1600000
3,Hashmap,30,3025726.3,100857.53,50428.766,14189441,178889
4,Sequence,40000,5284312.5,132.107,66.0535,242227.89,4
4,Vector,40,2249746.8,56243.67,28121.836,227581150,1600000
4,Hashmap,40,4273998.5,106849.97,53424.984,13393659,178889
5,Sequence,50000,6405727,128.114,64.057,249777.55,4
5,Vector,50,3600903.8,72018.08,36009.04,177733150,1600000
5,Hashmap,50,6897076.5,137941.55,68970.77,10374772,178889
6,Sequence,60000,8025916,133.765,66.8825,239225.5,4
6,Vector,60,5069997.5,84499.95,42249.977,151479380,1600000
6,Hashmap,60,8266076,137767.94,68883.97,10387845,178889
7,Sequence,70000,9199001,131.414,65.707,243505.27,4
7,Vector,70,6720389,96005.555,48002.777,133325624,1600000
7,Hashmap,70,9960185,142288.36,71144.18,10057829,178889
8,Sequence,80000,10016249,125.203,62.6015,255584.92,4
