NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,Throughput,Size
1,Sequence,1000,302411.6,302.411,151.2055,105816.26,4
1,Vector,10,183794.94,18379.492,9189.746,696428350,1600000
1,Hashmap,10,1200008.5,120000.84,60000.42,11925849,178889
2,Sequence,2000,629618,314.808,157.404,101649.26,4
2,Vector,20,565582.3,28279.12,14139.56,452630820,1600000
2,Hashmap,20,2633293.8,131664.67,65832.336,10869369,178889
3,Sequence,3000,945395.44,315.131,157.5655,101545.07,4
3,Vector,30,1208741.8,40291.39,20145.695,317685730,1600000
3,Hashmap,30,4802879,160095.97,80047.984,8939088,178889
4,Sequence,4000,1244097.5,311.024,155.512,102885.95,4
4,Vector,40,2070240,51756,25878,247314340,1600000
4,Hashmap,40,7783376.5,194584.42,97292.21,7354710.5,178889
5,Sequence,5000,1634691.1,326.938,163.469,97877.88,4
5,Vector,50,3227162.8,64543.254,32271.627,198316620,1600000
5,Hashmap,50,10419465,208389.3,104194.65,6867493,178889
6,Sequence,6000,1999700.1,333.28302,166.64151,96014.49,4
6,Vector,60,4600922,76682.03,38341.016,166923070,1600000
6,Hashmap,60,12642052,210700.86,105350.43,6792151,178889
7,Sequence,7000,2282851.8,326.121,163.0605,98123.09,4
7,Vector,70,6182012,88314.46,44157.23,144936620,1600000
7,Hashmap,70,16077835,229683.36,114841.68,6230804,178889
8,Sequence,8000,2677191.5,334.648,167.324,95622.86,4
8,Vector,80,7978816,99735.2,49867.6,128339840,1600000
8,Hashmap,80,19079486,238493.61,119246.805,6000630.5,178889
9,Sequence,9000,3031305.5,336.811,168.4055,95008.77,4
9,Vector,90,10022125,111356.945,55678.473,114945680,1600000
9,Hashmap,90,25581844,284242.72,142121.36,5034824,178889
10,Sequence,10000,3471482.5,347.14798,173.57399,92179.71,4
10,Vector,100,12918980,129189.805,64594.902,99079020,1600000
10,Hashmap,100,30058904,300589.06,150294.53,4761025,178889
1,Sequence,1000,314769.3,314.76898,157.38449,101661.86,4
1,Vector,10,191708.23,19170.824,9585.412,667681300,1600000
1,Hashmap,10,1272563.9,127256.375,63628.188,11245896,178889
2,Sequence,2000,607040.1,303.52002,151.76001,105429.625,4
2,Vector,20,603910.75,30195.535,15097.768,423903700,1600000
2,Hashmap,20,3159793.3,157989.67,78994.836,9058263,178889
3,Sequence,3000,931690.8,310.563,155.2815,103038.68,4
3,Vector,30,1244690.6,41489.688,20744.844,308510400,1600000
3,Hashmap,30,5697575,189919.17,94959.586,7535374,178889
4,Sequence,4000,1284187.1,321.04602,160.52301,99674.19,4
4,Vector,40,2113758,52843.95,26421.975,242222620,1600000
4,Hashmap,40,6878143.5,171953.6,85976.8,8322664.5,178889
5,Sequence,5000,1608158.9,321.631,160.8155,99492.9,4
5,Vector,50,3173244,63464.88,31732.44,201686350,1600000
5,Hashmap,50,9617667,192353.34,96176.67,7440016.5,178889
6,Sequence,6000,1989554.1,331.59198,165.79599,96504.14,4
6,Vector,60,4469589,74493.16,37246.58,171827870,1600000
6,Hashmap,60,13505305,225088.42,112544.21,6357999.5,178889
7,Sequence,7000,2275845.3,325.12,162.56,98425.195,4
7,Vector,70,6181840,88312,44156,144940670,1600000
7,Hashmap,70,16514063,235915.19,117957.59,6066214,178889
8,Sequence,8000,2662917.3,332.864,166.432,96135.36,4
8,Vector,80,7613659,95170.734,47585.367,134495120,1600000
8,Hashmap,80,18977290,237216.11,118608.055,6032946,178889
9,Sequence,9000,3016462.8,335.16202,167.58101,95476.21,4
9,Vector,90,9907666,110085.18,55042.59,116273600,1600000
9,Hashmap,90,23894166,265490.72,132745.36,5390441,178889
