NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,Throughput,Size
1,Sequence,1000,182469.98,182.469,91.2345,175372.27,4
1,Vector,10,68076.67,6807.667,3403.8335,1880233000,1600000
1,Hashmap,10,940192.3,94019.234,47009.617,15221481,178889
2,Sequence,2000,384852.1,192.426,96.213,166297.69,4
2,Vector,20,200371.45,10018.572,5009.286,1277627100,1600000
2,Hashmap,20,2745053.3,137252.67,68626.336,10426842,178889
3,Sequence,3000,576993.4,192.33101,96.165504,166379.83,4
3,Vector,30,311097.9,10369.931,5184.9653,1234338000,1600000
3,Hashmap,30,3960275.8,132009.19,66004.59,10841003,178889
4,Sequence,4000,772893.06,193.22299,96.611496,165611.77,4
4,Vector,40,364938.47,9123.461,4561.7305,1402976300,1600000
4,Hashmap,40,4535678,113391.95,56695.977,12620931,178889
5,Sequence,5000,967194.4,193.438,96.719,165427.69,4
5,Vector,50,425089.72,8501.794,4250.897,1505564500,1600000
5,Hashmap,50,5897965,117959.3,58979.65,12132253,178889
6,Sequence,6000,1193412.8,198.902,99.451,160883.25,4
6,Vector,60,538118.94,8968.649,4484.3247,1427193700,1600000
6,Hashmap,60,8020673,133677.89,66838.945,10705675,178889
7,Sequence,7000,1405477.5,200.782,100.391,159376.84,4
7,Vector,70,581769.94,8310.998,4155.499,1540128000,1600000
7,Hashmap,70,8607995,122971.37,61485.684,11637766,178889
8,Sequence,8000,1616643.5,202.08,101.04,158353.13,4
8,Vector,80,702940.5,8786.757,4393.3784,1456737800,1600000
8,Hashmap,80,9487943,118599.29,59299.645,12066784,178889
9,Sequence,9000,1795514.4,199.50099,99.750496,160400.2,4
9,Vector,90,843381.1,9370.9,4685.45,1365930600,1600000
9,Hashmap,90,10496527,116628.08,58314.04,12270733,178889
10,Sequence,10000,1994418.6,199.441,99.7205,160448.45,4
10,Vector,100,916661.4,9166.613,4583.3066,1396371800,1600000
10,Hashmap,100,13569813,135698.13,67849.06,10546292,178889
1,Sequence,1000,178522.6,178.52199,89.260994,179249.63,4
1,Vector,10,59915.45,5991.544,2995.772,2136344000,1600000
1,Hashmap,10,879335.2,87933.516,43966.758,16274932,178889
2,Sequence,2000,374820.44,187.41,93.705,170748.63,4
2,Vector,20,193157.22,9657.86,4828.93,1325345300,1600000
2,Hashmap,20,1956373.5,97818.67,48909.336,14630254,178889
3,Sequence,3000,595524.7,198.508,99.254,161202.56,4
3,Vector,30,253530.77,8451.025,4225.5127,1514609200,1600000
3,Hashmap,30,3849980.8,128332.69,64166.344,11151578,178889
4,Sequence,4000,849234.56,212.308,106.154,150724.42,4
4,Vector,40,346885.7,8672.143,4336.0713,1475990500,1600000
4,Hashmap,40,4186612.3,104665.3,52332.65,13673224,178889
5,Sequence,5000,1001486.44,200.297,100.1485,159762.75,4
5,Vector,50,456326.16,9126.521,4563.2607,1402505900,1600000
5,Hashmap,50,5926080,118521.6,59260.8,12074693,178889
6,Sequence,6000,1217543.6,202.92299,101.461494,157695.28,4
6,Vector,60,555504.4,9258.406,4629.203,1382527400,1600000
6,Hashmap,60,7726391.5,128773.18,64386.59,11113432,178889
7,Sequence,7000,1353865.1,193.409,96.7045,165452.48,4
7,Vector,70,591578.8,8451.125,4225.5625,1514591400,1600000
7,Hashmap,70,8513004,121614.35,60807.176,11767624,178889
8,Sequence,8000,1662994.5,207.87401,103.937004,153939.4,4
8,Vector,80,720423.25,9005.291,4502.6455,1421386500,1600000
8,Hashmap,80,10351151,129389.39,64694.695,11060505,178889
9,Sequence,9000,1856372.3,206.263,103.1315,155141.73,4
9,Vector,90,851482.6,9460.918,4730.459,1352934300,1600000
9,Hashmap,90,11376481,126405.34,63202.67,11321610,178889
10,Sequence,10000,2048736.4,204.873,102.4365,156194.33,4
10,Vector,100,904822.3,9048.222,4524.111,1414642700,1600000
10,Hashmap,100,12601847,126018.46,63009.23,11356368,178889
1,Sequence,1000,208601.78,208.60101,104.30051,153402.9,4
1,Vector,10,68042.5,6804.25,3402.125,1881177200,1600000
1,Hashmap,10,1059328.4,105932.83,52966.414,13509617,178889
2,Sequence,2000,393598.4,196.799,98.3995,162602.45,4
2,Vector,20,191200.7,9560.034,4780.017,1338907300,1600000
2,Hashmap,20,2616207.3,130810.37,65405.184,10940356,178889
3,Sequence,3000,576566.7,192.188,96.094,166503.63,4
3,Vector,30,257119.06,8570.635,4285.3174,1493471600,1600000
3,Hashmap,30,3863476.3,128782.54,64391.27,11112624,178889
4,Sequence,4000,751606.6,187.901,93.9505,170302.45,4
4,Vector,40,318664.13,7966.603,3983.3015,1606707300,1600000
4,Hashmap,40,4782675.5,119566.89,59783.445,11969133,178889
5,Sequence,5000,984893.06,196.978,98.489,162454.69,4
5,Vector,50,421125.56,8422.511,4211.2554,1519736800,1600000
5,Hashmap,50,5544698,110893.96,55446.98,12905229,178889
6,Sequence,6000,1244015.8,207.335,103.6675,154339.6,4
6,Vector,60,508043.28,8467.388,4233.694,1511682300,1600000
6,Hashmap,60,7578633.5,126310.555,63155.277,11330106,178889
7,Sequence,7000,1468908.9,209.84401,104.922005,152494.23,4
7,Vector,70,667163.3,9530.903,4765.4517,1342999600,1600000
7,Hashmap,70,8318989,118842.7,59421.35,12042068,178889
8,Sequence,8000,1585584.9,198.198,99.099,161454.7,4
8,Vector,80,721923.44,9024.042,4512.021,1418433200,1600000
8,Hashmap,80,9543940,119299.24,59649.62,11995986,178889
9,Sequence,9000,1843871.9,204.874,102.437,156193.56,4
9,Vector,90,828498.44,9205.538,4602.769,1390467300,1600000
9,Hashmap,90,12254906,136165.64,68082.82,10510082,178889
10,Sequence,10000,2027052.9,202.705,101.3525,157864.88,4
10,Vector,100,872998.44,8729.983,4364.9917,1466211300,1600000
10,Hashmap,100,12866079,128660.8,64330.4,11123139,178889
1,Sequence,1000,179986.17,179.98601,89.993004,177791.61,4
1,Vector,10,74006.055,7400.605,3700.3025,1729588400,1600000
1,Hashmap,10,1016038.6,101603.87,50801.934,14085212,178889
2,Sequence,2000,420027.8,210.013,105.0065,152371.53,4
2,Vector,20,178906.06,8945.303,4472.6514,1430918500,1600000
2,Hashmap,20,2039654.5,101982.72,50991.36,14032887,178889
3,Sequence,3000,584211.8,194.737,97.3685,164324.19,4
3,Vector,30,245378.63,8179.2876,4089.6438,1564928500,1600000
3,Hashmap,30,3565038.8,118834.625,59417.313,12042888,178889
4,Sequence,4000,788134.1,197.033,98.5165,162409.34,4
4,Vector,40,358909.72,8972.742,4486.371,1426542600,1600000
4,Hashmap,40,4792125.5,119803.14,59901.57,11945530,178889
5,Sequence,5000,1002923.4,200.584,100.292,159534.16,4
5,Vector,50,479553.84,9591.075,4795.5376,1334574000,1600000
5,Hashmap,50,5729872,114597.44,57298.72,12488167,178889
6,Sequence,6000,1232578.3,205.429,102.7145,155771.58,4
6,Vector,60,564212.6,9403.543,4701.7715,1361189100,1600000
6,Hashmap,60,7269733.5,121162.22,60581.11,11811537,178889
7,Sequence,7000,1350732.3,192.961,96.4805,165836.63,4
7,Vector,70,607743.9,8682.056,4341.028,1474305300,1600000
7,Hashmap,70,8639000,123414.28,61707.14,11596000,178889
8,Sequence,8000,1642264.9,205.28299,102.641495,155882.38,4
8,Vector,80,707133.25,8839.165,4419.5825,1448100600,1600000
8,Hashmap,80,10383740,129796.76,64898.38,11025792,178889
9,Sequence,9000,1863930.3,207.103,103.5515,154512.48,4
9,Vector,90,845106.44,9390.071,4695.0356,1363142000,1600000
9,Hashmap,90,11901800,132242.22,66121.11,10821900,178889
10,Sequence,10000,2108320.5,210.832,105.416,151779.61,4
10,Vector,100,1007347.25,10073.472,5036.736,1270664200,1600000
10,Hashmap,100,12911228,129112.27,64556.137,11084244,178889
1,Sequence,1000,208047.55,208.047,104.0235,153811.39,4
1,Vector,10,84668.54,8466.853,4233.4263,1511777800,1600000
1,Hashmap,10,1081477.1,108147.71,54073.855,13232938,178889
2,Sequence,2000,365432.88,182.716,91.358,175135.19,4
2,Vector,20,206122.73,10306.137,5153.0684,1241978500,1600000
2,Hashmap,20,2687498.5,134374.94,67187.47,10650141,178889
3,Sequence,3000,584222.94,194.74,97.37,164321.66,4
3,Vector,30,270020.84,9000.694,4500.347,1422112500,1600000
3,Hashmap,30,4014397.5,133813.27,66906.63,10694844,178889
4,Sequence,4000,799250.5,199.812,99.906,160150.55,4
4,Vector,40,372335.6,9308.39,4654.195,1375103600,1600000
4,Hashmap,40,4691478.5,117286.97,58643.484,12201799,178889
5,Sequence,5000,988664.44,197.73201,98.866005,161835.2,4
5,Vector,50,413256.63,8265.132,4132.566,1548674600,1600000
5,Hashmap,50,6320810,126416.195,63208.098,11320638,178889
6,Sequence,6000,1162703,193.78299,96.891495,165133.17,4
6,Vector,60,546409.9,9106.831,4553.4155,1405538400,1600000
6,Hashmap,60,7787709,129795.15,64897.574,11025928,178889
7,Sequence,7000,1380627.6,197.23201,98.616005,162245.47,4
7,Vector,70,597248.75,8532.124,4266.062,1500212600,1600000
7,Hashmap,70,9209735,131567.64,65783.82,10877386,178889
8,Sequence,8000,1642481.8,205.31,102.655,155861.86,4
8,Vector,80,743457.8,9293.222,4646.611,1377348000,1600000
8,Hashmap,80,9651321,120641.52,60320.76,11862516,178889
9,Sequence,9000,1932807.9,214.756,107.378,149006.31,4
9,Vector,90,855572.4,9506.359,4753.1797,1346467100,1600000
9,Hashmap,90,11056432,122849.24,61424.62,11649335,178889
10,Sequence,10000,2064236.6,206.423,103.2115,155021.48,4
10,Vector,100,924466.2,9244.662,4622.331,1384582800,1600000
10,Hashmap,100,11985416,119854.164,59927.082,11940444,178889
1,Sequence,1000,201804.16,201.804,100.902,158569.7,4
1,Vector,10,80763.94,8076.393,4038.1965,1584865900,1600000
1,Hashmap,10,1011391.5,101139.15,50569.574,14149931,178889
2,Sequence,2000,357168.53,178.584,89.292,179187.39,4
2,Vector,20,174697.03,8734.852,4367.426,1465394200,1600000
2,Hashmap,20,2523191,126159.55,63079.773,11343668,178889
3,Sequence,3000,584602.25,194.86699,97.433495,164214.56,4
3,Vector,30,245020.77,8167.359,4083.6794,1567214100,1600000
3,Hashmap,30,3688823.5,122960.78,61480.39,11638768,178889
4,Sequence,4000,778533.8,194.633,97.3165,164412,4
4,Vector,40,379312.06,9482.801,4741.4004,1349812100,1600000
4,Hashmap,40,4677463,116936.58,58468.29,12238360,178889
5,Sequence,5000,970582.8,194.116,97.058,164849.89,4
5,Vector,50,448587.9,8971.758,4485.879,1426699100,1600000
5,Hashmap,50,6014755,120295.11,60147.555,11896677,178889
6,Sequence,6000,1171001,195.166,97.583,163962.98,4
6,Vector,60,489047.6,8150.7925,4075.3962,1570399400,1600000
6,Hashmap,60,7539038,125650.63,62825.316,11389613,178889
7,Sequence,7000,1391759.1,198.822,99.411,160947.98,4
7,Vector,70,631199.06,9017.13,4508.565,1419520500,1600000
7,Hashmap,70,8320888.5,118869.836,59434.918,12039320,178889
8,Sequence,8000,1659079.1,207.384,103.692,154303.13,4
8,Vector,80,695430.7,8692.884,4346.442,1472468700,1600000
8,Hashmap,80,9612181,120152.266,60076.133,11910820,178889
9,Sequence,9000,1908360.3,212.04001,106.020004,150914.92,4
9,Vector,90,909352.1,10103.912,5051.956,1266836100,1600000
9,Hashmap,90,10592486,117694.3,58847.15,12159570,178889
10,Sequence,10000,2048588.8,204.858,102.429,156205.75,4
10,Vector,100,978549.75,9785.497,4892.7485,1308058200,1600000
10,Hashmap,100,12760310,127603.1,63801.55,11215339,178889
1,Sequence,1000,206756.89,206.756,103.378,154771.81,4
1,Vector,10,62467.55,6246.754,3123.377,2049064200,1600000
1,Hashmap,10,913281.7,91328.164,45664.082,15669996,178889
2,Sequence,2000,420991.94,210.495,105.2475,152022.61,4
2,Vector,20,196754.88,9837.743,4918.8716,1301111400,1600000
2,Hashmap,20,2366144.5,118307.22,59153.61,12096574,178889
3,Sequence,3000,633246.06,211.082,105.541,151599.84,4
3,Vector,30,263647.53,8788.251,4394.1255,1456490000,1600000
3,Hashmap,30,3493035,116434.51,58217.254,12291133,178889
4,Sequence,4000,825022.1,206.255,103.1275,155147.75,4
4,Vector,40,372393.28,9309.831,4654.9155,1374890600,1600000
4,Hashmap,40,4826361.5,120659.04,60329.52,11860794,178889
5,Sequence,5000,975017.7,195.00299,97.501495,164100.05,4
5,Vector,50,419639.56,8392.791,4196.3955,1525118300,1600000
5,Hashmap,50,6232975.5,124659.5,62329.75,11480168,178889
6,Sequence,6000,1213666,202.27701,101.138504,158198.9,4
6,Vector,60,531759.94,8862.665,4431.3325,1444260900,1600000
6,Hashmap,60,7697736.5,128295.6,64147.8,11154802,178889
7,Sequence,7000,1491920.4,213.131,106.5655,150142.4,4
7,Vector,70,671141.7,9587.737,4793.8687,1335038600,1600000
7,Hashmap,70,9207508,131535.83,65767.914,10880017,178889
8,Sequence,8000,1644442.8,205.555,102.7775,155676.1,4
8,Vector,80,796816.44,9960.204,4980.102,1285114200,1600000
8,Hashmap,80,9579813,119747.66,59873.83,11951065,178889
9,Sequence,9000,1872417.5,208.04599,104.022995,153812.14,4
9,Vector,90,826066.4,9178.515,4589.2573,1394561200,1600000
9,Hashmap,90,11085351,123170.57,61585.285,11618944,178889
10,Sequence,10000,2086204,208.62,104.31,153388.94,4
10,Vector,100,971153.4,9711.534,4855.767,1318020500,1600000
10,Hashmap,100,12395497,123954.98,61977.49,11545418,178889
1,Sequence,1000,184540.31,184.54,92.27,173404.14,4
1,Vector,10,61752.57,6175.256,3087.628,2072788600,1600000
1,Hashmap,10,874212.06,87421.21,43710.605,16370307,178889
2,Sequence,2000,424699.28,212.349,106.1745,150695.31,4
2,Vector,20,190980.53,9549.026,4774.513,1340450800,1600000
2,Hashmap,20,3351852.3,167592.61,83796.305,8539231,178889
3,Sequence,3000,553800.3,184.59999,92.299995,173347.78,4
3,Vector,30,258607.2,8620.24,4310.12,1484877400,1600000
3,Hashmap,30,3897140,129904.67,64952.336,11016632,178889
4,Sequence,4000,771983.7,192.995,96.4975,165807.4,4
4,Vector,40,357084.13,8927.104,4463.552,1433835800,1600000
4,Hashmap,40,4891488,122287.195,61143.598,11702877,178889
5,Sequence,5000,971793.4,194.358,97.179,164644.63,4
5,Vector,50,462448.7,9248.973,4624.4863,1383937400,1600000
5,Hashmap,50,5814628.5,116292.56,58146.28,12306135,178889
6,Sequence,6000,1242084,207.013,103.5065,154579.67,4
6,Vector,60,516627.5,8610.458,4305.229,1486564400,1600000
6,Hashmap,60,6803166.5,113386.11,56693.055,12621581,178889
7,Sequence,7000,1381680,197.382,98.691,162122.17,4
7,Vector,70,613883.2,8769.76,4384.88,1459561100,1600000
7,Hashmap,70,8910546,127293.516,63646.758,11242615,178889
8,Sequence,8000,1643927.9,205.48999,102.744995,155725.34,4
8,Vector,80,738405.56,9230.069,4615.0347,1386771800,1600000
8,Hashmap,80,10665538,133319.22,66659.61,10734477,178889
9,Sequence,9000,1797944.5,199.77101,99.885506,160183.4,4
9,Vector,90,859532.7,9550.363,4775.1816,1340263200,1600000
9,Hashmap,90,11104596,123384.4,61692.2,11598808,178889
10,Sequence,10000,2056047.5,205.60399,102.801994,155639,4
10,Vector,100,932372.75,9323.728,4661.864,1372841500,1600000
10,Hashmap,100,12840466,128404.664,64202.332,11145327,178889
1,Sequence,1000,245050.97,245.05,122.525,130585.59,4
1,Vector,10,60144.04,6014.404,3007.202,2128224300,1600000
1,Hashmap,10,911007.9,91100.78,45550.39,15709108,178889
2,Sequence,2000,391903.7,195.951,97.9755,163306.14,4
