NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,Throughput,Size
1,Vector,10,4366.269,436.626,218.313,293157.06,16
1,Vector,10,3628.611,362.861,181.4305,352752.16,16
1,Vector,10,4473.838,447.383,223.6915,286108.3,16
1,Vector,10,4581.5723,458.157,229.0785,279380.22,16
1,Vector,10,4590.7217,459.072,229.536,278823.38,16
1,Vector,10,4361.887,436.18802,218.09401,293451.44,16
1,Vector,10,4141.331,414.13303,207.06651,309079.44,16
1,Vector,10,3853.189,385.31802,192.65901,332193.16,16
1,Vector,10,3821.0488,382.10397,191.05199,334987.34,16
1,Vector,10,4429.569,442.956,221.478,288967.75,16
1,Vector,10,4666.641,466.664,233.332,548574.56,32
1,Vector,10,4547.682,454.76797,227.38399,562924.44,32
1,Vector,10,4562.128,456.212,228.106,561142.6,32
1,Vector,10,4311.887,431.18802,215.59401,593708.56,32
1,Vector,10,3922.509,392.25,196.125,652645,32
1,Vector,10,4439.2373,443.923,221.9615,576676.56,32
1,Vector,10,4131.319,413.131,206.5655,619658.2,32
1,Vector,10,4047.492,404.749,202.3745,632490.75,32
1,Vector,10,4294.805,429.47998,214.73999,596069.7,32
1,Vector,10,4331.927,433.19202,216.59601,590961.94,32
1,Vector,10,4538.2007,453.81998,226.90999,1128200.6,64
1,Vector,10,4581.987,458.198,229.099,1117420.9,64
1,Vector,10,4487.468,448.746,224.373,1140957.3,64
1,Vector,10,4228.5527,422.85498,211.42749,1210817,64
1,Vector,10,4372.7646,437.276,218.638,1170885.3,64
1,Vector,10,4145.978,414.597,207.2985,1234934.3,64
1,Vector,10,4757.0386,475.703,237.8515,1076301.8,64
1,Vector,10,4461.71,446.171,223.0855,1147542.1,64
1,Vector,10,3871.892,387.189,193.5945,1322351.6,64
1,Vector,10,4704.362,470.436,235.218,1088352.1,64
1,Vector,10,4542.229,454.222,227.111,2254404.3,128
1,Vector,10,4890.649,489.06403,244.53201,2093795.4,128
1,Vector,10,4534.767,453.476,226.738,2258112.8,128
1,Vector,10,4271.349,427.13397,213.56699,2397374.3,128
1,Vector,10,4303.8853,430.388,215.194,2379248.5,128
1,Vector,10,3973.5361,397.353,198.6765,2577053.8,128
1,Vector,10,4155.997,415.599,207.7995,2463913.5,128
1,Vector,10,3920.2048,392.02002,196.01001,2612111.5,128
1,Vector,10,4260.293,426.029,213.0145,2403592.3,128
1,Vector,10,4328.401,432.84,216.42,2365770.3,128
1,Vector,10,5656.459,565.645,282.8225,3620645.5,256
1,Vector,10,5627.998,562.799,281.3995,3638954.8,256
1,Vector,10,5342,534.2,267.1,3833770.3,256
1,Vector,10,5407.0513,540.705,270.3525,3787647.8,256
1,Vector,10,5469.498,546.949,273.4745,3744407.8,256
1,Vector,10,5005.0483,500.504,250.252,4091875.5,256
1,Vector,10,5630.33,563.03296,281.51648,3637442.3,256
1,Vector,10,5361.085,536.108,268.054,3820126,256
1,Vector,10,5528.741,552.874,276.437,3704279.8,256
1,Vector,10,5402.675,540.26697,270.13348,3790718.5,256
1,Vector,10,5552.454,555.245,277.6225,7376924,512
1,Vector,10,5244.979,524.497,262.2485,7809387,512
1,Vector,10,5518.9414,551.89404,275.94702,7421715,512
1,Vector,10,5486.0713,548.607,274.3035,7466183,512
1,Vector,10,5691.225,569.122,284.561,7197050.5,512
1,Vector,10,5530.927,553.092,276.546,7405639.5,512
1,Vector,10,5687.939,568.79297,284.39648,7201214,512
1,Vector,10,5553.547,555.354,277.677,7375476,512
1,Vector,10,5229.2607,522.92596,261.46298,7832848.5,512
1,Vector,10,5472.145,547.214,273.607,7485188.5,512
1,Vector,10,5959.999,595.999,297.9995,13744989,1024
1,Vector,10,5317.586,531.758,265.879,15405504,1024
1,Vector,10,5817.412,581.74097,290.87048,14081868,1024
1,Vector,10,5195.868,519.586,259.793,15766398,1024
1,Vector,10,5653.9063,565.39,282.695,14489114,1024
1,Vector,10,5722.665,572.266,286.133,14315021,1024
1,Vector,10,5581.399,558.139,279.0695,14677347,1024
1,Vector,10,5499.346,549.93396,274.96698,14896333,1024
1,Vector,10,5216.828,521.682,260.841,15703052,1024
1,Vector,10,5061.547,506.15402,253.07701,16184797,1024
1,Vector,10,5762.5093,576.25,288.125,28432104,2048
1,Vector,10,5809.816,580.981,290.4905,28200576,2048
1,Vector,10,5455.191,545.519,272.7595,30033784,2048
1,Vector,10,5483.886,548.388,274.194,29876656,2048
1,Vector,10,5298.197,529.819,264.9095,30923768,2048
1,Vector,10,5316.702,531.67,265.835,30816108,2048
1,Vector,10,5728.1626,572.816,286.408,28602552,2048
1,Vector,10,5449.751,544.975,272.4875,30063766,2048
1,Vector,10,5398.716,539.871,269.9355,30347992,2048
1,Vector,10,5954.778,595.477,297.7385,27514076,2048
1,Vector,10,5480.066,548.006,274.003,59794970,4096
1,Vector,10,5086.891,508.68896,254.34448,64416572,4096
1,Vector,10,5358.1104,535.81104,267.90552,61155892,4096
1,Vector,10,5683.649,568.364,284.182,57653196,4096
1,Vector,10,5538.548,553.854,276.927,59163610,4096
1,Vector,10,5421.8193,542.181,271.0905,60437380,4096
1,Vector,10,5650.407,565.04,282.52,57992356,4096
1,Vector,10,5553.182,555.318,277.659,59007628,4096
1,Vector,10,5438.6396,543.86395,271.93198,60250360,4096
1,Vector,10,5775.271,577.527,288.7635,56738476,4096
1,Vector,10,5697.395,569.73895,284.86948,115028110,8192
1,Vector,10,6001.195,600.119,300.0595,109205010,8192
1,Vector,10,5331.984,533.198,266.599,122911180,8192
1,Vector,10,5656.004,565.6,282.8,115869870,8192
