NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,Throughput,Size
1,Vector,10,3504.727,350.472,175.236,365221.75,16
1,Vector,10,3333.407,333.34,166.67,383992.3,16
1,Vector,10,4049.9043,404.99,202.495,316057.2,16
1,Vector,10,4392.636,439.263,219.6315,291397.2,16
1,Vector,10,4241.215,424.121,212.0605,301800.66,16
1,Vector,10,3186.634,318.663,159.3315,401678.28,16
1,Vector,10,3634.169,363.41602,181.70801,352213.44,16
1,Vector,10,2742.531,274.253,137.1265,466722.34,16
1,Vector,10,2816.5579,281.655,140.8275,454456.7,16
1,Vector,10,4401.086,440.108,220.054,290837.7,16
1,Vector,10,4254.619,425.461,212.7305,601700.25,32
1,Vector,10,3969.218,396.92102,198.46051,644964.6,32
1,Vector,10,4025.436,402.543,201.2715,635956.94,32
1,Vector,10,3536.877,353.687,176.8435,723803.8,32
1,Vector,10,4063.076,406.307,203.1535,630065.44,32
1,Vector,10,4221.367,422.13602,211.06801,606439.6,32
1,Vector,10,3817.1912,381.719,190.8595,670650.4,32
1,Vector,10,3879.308,387.93,193.965,659912.9,32
1,Vector,10,4737.102,473.71002,236.85501,540415,32
1,Vector,10,4016.989,401.698,200.849,637294.7,32
1,Vector,10,3619.396,361.939,180.9695,1414603,64
1,Vector,10,3897.1519,389.715,194.8575,1313780.6,64
1,Vector,10,3409.66,340.966,170.483,1501616,64
1,Vector,10,3850.085,385.008,192.504,1329842.5,64
1,Vector,10,3686.429,368.642,184.321,1388881.4,64
1,Vector,10,3435.428,343.542,171.771,1490356.4,64
1,Vector,10,4719.093,471.909,235.9545,1084954.9,64
1,Vector,10,3818.584,381.858,190.929,1340812.5,64
1,Vector,10,4074.214,407.421,203.7105,1256685.4,64
1,Vector,10,3071.907,307.19,153.595,1666720.9,64
1,Vector,10,4103.919,410.391,205.1955,2495181.5,128
1,Vector,10,3995.332,399.533,199.7665,2562992.3,128
1,Vector,10,4429.029,442.902,221.451,2312023.8,128
1,Vector,10,3982.2761,398.22702,199.11351,2571397.8,128
1,Vector,10,3611.897,361.18903,180.59451,2835080.8,128
1,Vector,10,3768.994,376.899,188.4495,2716908.3,128
1,Vector,10,4062.8142,406.281,203.1405,2520423,128
1,Vector,10,3865.103,386.50998,193.25499,2649349.5,128
1,Vector,10,3538.34,353.834,176.917,2894012.3,128
1,Vector,10,4524.907,452.49,226.245,2263033.5,128
1,Vector,10,3975.8599,397.586,198.793,5151087,256
1,Vector,10,3893.465,389.346,194.673,5260102.5,256
1,Vector,10,4608.502,460.84998,230.42499,4443962.5,256
1,Vector,10,3868.476,386.84702,193.42351,5294082.5,256
1,Vector,10,4433.901,443.38998,221.69499,4618958.5,256
1,Vector,10,4398.932,439.89297,219.94649,4655678,256
1,Vector,10,4409.392,440.939,220.4695,4644633.5,256
1,Vector,10,3854.613,385.461,192.7305,5313118.5,256
1,Vector,10,4287.954,428.795,214.3975,4776175,256
1,Vector,10,4261.607,426.16,213.08,4805707,256
1,Vector,10,3668.138,366.81302,183.40651,11166452,512
1,Vector,10,4917.7197,491.77203,245.88602,8329062.5,512
1,Vector,10,4413.569,441.35602,220.67801,9280490,512
1,Vector,10,4161.708,416.16998,208.08499,9842132,512
1,Vector,10,3068.3,306.83002,153.41501,13349411,512
1,Vector,10,4969.721,496.97202,248.48601,8241913,512
1,Vector,10,4378.772,437.87698,218.93849,9354225,512
1,Vector,10,3663.3281,366.332,183.166,11181114,512
1,Vector,10,3249.458,324.945,162.4725,12605210,512
1,Vector,10,3507.134,350.713,175.3565,11679065,512
1,Vector,10,4355.419,435.54102,217.77051,18808792,1024
1,Vector,10,5276.186,527.618,263.809,15526385,1024
1,Vector,10,3367.319,336.731,168.3655,24328024,1024
1,Vector,10,4151.827,415.182,207.591,19731106,1024
1,Vector,10,3618.391,361.839,180.9195,22639904,1024
1,Vector,10,3476.907,347.69,173.845,23561220,1024
1,Vector,10,5030.546,503.05402,251.52701,16284534,1024
1,Vector,10,4206.59,420.659,210.3295,19474206,1024
1,Vector,10,4748.398,474.83902,237.41951,17252164,1024
1,Vector,10,4093.032,409.303,204.6515,20014512,1024
1,Vector,10,3498.026,349.802,174.901,46837930,2048
1,Vector,10,4263.56,426.35602,213.17801,38427980,2048
1,Vector,10,3654.2668,365.426,182.713,44835340,2048
1,Vector,10,3807.2861,380.728,190.364,43033348,2048
1,Vector,10,4019.452,401.945,200.9725,40761796,2048
1,Vector,10,4459.8613,445.986,222.993,36736580,2048
1,Vector,10,4373.224,437.32202,218.66101,37464384,2048
1,Vector,10,4101.3726,410.137,205.0685,39947628,2048
1,Vector,10,3940.5632,394.056,197.028,41577850,2048
1,Vector,10,3867.435,386.74298,193.37149,42364052,2048
1,Vector,10,4368.645,436.864,218.432,75007320,4096
1,Vector,10,3977.54,397.754,198.877,82382584,4096
1,Vector,10,4072.16,407.216,203.608,80468350,4096
1,Vector,10,4085.7651,408.576,204.288,80200504,4096
1,Vector,10,3277.252,327.725,163.8625,99986270,4096
1,Vector,10,5381.286,538.128,269.064,60892572,4096
1,Vector,10,4967.083,496.70798,248.35399,65970350,4096
1,Vector,10,3955.062,395.506,197.753,82850824,4096
1,Vector,10,4459.747,445.974,222.987,73475140,4096
1,Vector,10,5223.5576,522.35504,261.17752,62731280,4096
1,Vector,10,3677.511,367.751,183.8755,178207540,8192
1,Vector,10,4328.6367,432.86298,216.43149,151401260,8192
1,Vector,10,4566.7544,456.67502,228.33751,143506860,8192
1,Vector,10,4969.042,496.90402,248.45201,131888650,8192
1,Vector,10,4918.905,491.89,245.945,133233040,8192
1,Vector,10,3931.2063,393.12,196.56,166707380,8192
1,Vector,10,4548.102,454.81,227.405,144095330,8192
1,Vector,10,4475.6323,447.56302,223.78151,146428540,8192
1,Vector,10,4606.7393,460.673,230.3365,142261420,8192
1,Vector,10,5541.5483,554.154,277.077,118263160,8192
1,Vector,10,4838.489,483.84802,241.92401,270894980,16384
1,Vector,10,5502.435,550.24304,275.12152,238207470,16384
1,Vector,10,5227.786,522.778,261.389,250722100,16384
1,Vector,10,4448.175,444.81702,222.40851,294665000,16384
1,Vector,10,5304.693,530.469,265.2345,247087000,16384
1,Vector,10,4677.204,467.72,233.86,280236030,16384
1,Vector,10,4762.2188,476.221,238.1105,275233570,16384
1,Vector,10,6048.458,604.84503,302.42252,216703460,16384
1,Vector,10,4296.3584,429.63498,214.81749,305077570,16384
1,Vector,10,4638.684,463.868,231.934,282563140,16384
1,Vector,10,6432.2617,643.226,321.613,407545700,32768
1,Vector,10,5508.458,550.845,275.4225,475894300,32768
1,Vector,10,6399.105,639.91,319.955,409657600,32768
1,Vector,10,5572.33,557.233,278.6165,470438750,32768
1,Vector,10,6236.4077,623.64,311.82,420345060,32768
1,Vector,10,5531.6753,553.167,276.5835,473896670,32768
1,Vector,10,6001.3403,600.13403,300.06702,436809100,32768
1,Vector,10,5316.0034,531.6,265.8,493122700,32768
1,Vector,10,5727.302,572.73,286.365,457709600,32768
1,Vector,10,6998.979,699.89703,349.94852,374546530,32768
1,Vector,10,8377.883,837.78796,418.89398,625800300,65536
1,Vector,10,7803.8394,780.383,390.1915,671834200,65536
1,Vector,10,7483.196,748.31903,374.15952,700621000,65536
1,Vector,10,7382.082,738.208,369.104,710217150,65536
1,Vector,10,7229.6787,722.967,361.4835,725189440,65536
1,Vector,10,7017.56,701.756,350.878,747108700,65536
1,Vector,10,8839.342,883.93396,441.96698,593130300,65536
1,Vector,10,7682.683,768.268,384.134,682428540,65536
1,Vector,10,6822.354,682.235,341.1175,768485950,65536
1,Vector,10,9075.461,907.546,453.773,577698500,65536
1,Vector,10,12336.942,1233.694,616.847,849948160,131072
1,Vector,10,12296.238,1229.6229,614.81146,852762200,131072
1,Vector,10,12697.211,1269.721,634.8605,825831900,131072
1,Vector,10,12779.189,1277.918,638.959,820534660,131072
1,Vector,10,11501.691,1150.169,575.0845,911671300,131072
1,Vector,10,11261.837,1126.183,563.0915,931088500,131072
1,Vector,10,11164.297,1116.429,558.2145,939223200,131072
1,Vector,10,10656.086,1065.608,532.804,984016640,131072
1,Vector,10,11093.855,1109.385,554.6925,945186700,131072
1,Vector,10,10180.53,1018.05304,509.02652,1029981700,131072
1,Vector,10,20098.688,2009.8679,1004.93396,1043427800,262144
1,Vector,10,17602.465,1760.246,880.123,1191397100,262144
1,Vector,10,17566.283,1756.628,878.314,1193850900,262144
1,Vector,10,17026.328,1702.6321,851.31604,1231711700,262144
1,Vector,10,18712.398,1871.239,935.6195,1120729100,262144
1,Vector,10,18561.342,1856.134,928.067,1129849500,262144
1,Vector,10,17729.176,1772.917,886.4585,1182882200,262144
1,Vector,10,16152.24,1615.224,807.612,1298366000,262144
1,Vector,10,17099.008,1709.9,854.95,1226476400,262144
1,Vector,10,17493.73,1749.373,874.6865,1198802000,262144
1,Vector,10,31129.447,3112.944,1556.472,1347375400,524288
1,Vector,10,29116.855,2911.685,1455.8425,1440507400,524288
1,Vector,10,29582.1,2958.21,1479.105,1417852000,524288
1,Vector,10,30884.979,3088.498,1544.249,1358040000,524288
