NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,Throughput,Size
1,Vector,10,1268.296,126.82901,63.414505,1009232.9,16
1,Vector,10,1246.392,124.639,62.3195,1026965.9,16
1,Vector,10,1247.28,124.728004,62.364002,1026233.06,16
1,Vector,10,1258.5549,125.855,62.9275,1017043.4,16
1,Vector,10,1290.822,129.08199,64.54099,991617.8,16
1,Vector,10,1416.407,141.64,70.82,903699.5,16
1,Vector,10,1274.74,127.47401,63.737003,1004126.3,16
1,Vector,10,1448.9409,144.894,72.447,883404.44,16
1,Vector,10,1238.814,123.88099,61.940495,1033249.7,16
1,Vector,10,1250.193,125.019,62.5095,1023844.44,16
1,Vector,10,1289.4491,128.944,64.472,1985358,32
1,Vector,10,1313.927,131.392,65.696,1948368.4,32
1,Vector,10,1305.386,130.538,65.269,1961114.8,32
1,Vector,10,1242.061,124.20599,62.102997,2061092.1,32
1,Vector,10,1242.8689,124.286,62.143,2059765.4,32
1,Vector,10,1487.23,148.723,74.3615,1721320.8,32
1,Vector,10,1251.676,125.16701,62.583504,2045267.5,32
1,Vector,10,1250.009,125.00001,62.500004,2047999.9,32
1,Vector,10,1281.1139,128.11101,64.055504,1998267.1,32
1,Vector,10,1250.698,125.069,62.5345,2046870.1,32
1,Vector,10,1262.481,126.24799,63.123997,4055510,64
1,Vector,10,1312.148,131.21399,65.606995,3902022.8,64
1,Vector,10,1271.3981,127.13901,63.569504,4027088.3,64
1,Vector,10,1271.087,127.107994,63.553997,4028070.8,64
1,Vector,10,1292.5859,129.258,64.629,3961070.3,64
1,Vector,10,1294.121,129.412,64.706,3956356.5,64
1,Vector,10,1351.5121,135.151,67.5755,3788355.3,64
1,Vector,10,1280.069,128.006,64.003,3999812.8,64
1,Vector,10,1269.144,126.914,63.457,4034227.8,64
1,Vector,10,1280.7821,128.078,64.039,3997564,64
1,Vector,10,1275.323,127.532,63.766,8029357.5,128
1,Vector,10,1344.3501,134.435,67.2175,7617064,128
1,Vector,10,1334.44,133.444,66.722,7673631,128
1,Vector,10,1356.3041,135.63,67.815,7549952,128
1,Vector,10,1302.877,130.28699,65.14349,7859572,128
1,Vector,10,1334.597,133.459,66.7295,7672768,128
1,Vector,10,1430.411,143.041,71.5205,7158786.5,128
1,Vector,10,1338.6531,133.865,66.9325,7649497.5,128
1,Vector,10,1363.5549,136.355,68.1775,7509809,128
1,Vector,10,1343.041,134.304,67.152,7624493.5,128
1,Vector,10,1469.892,146.989,73.4945,13933016,256
1,Vector,10,1409.125,140.912,70.456,14533893,256
1,Vector,10,1366.752,136.67499,68.337494,14984453,256
1,Vector,10,1418.929,141.892,70.946,14433513,256
1,Vector,10,1362.449,136.24399,68.121994,15031855,256
1,Vector,10,1534.796,153.479,76.7395,13343845,256
1,Vector,10,1350.3151,135.031,67.5155,15166887,256
1,Vector,10,1533.875,153.387,76.6935,13351849,256
1,Vector,10,1560.071,156.00699,78.003494,13127617,256
1,Vector,10,1374.737,137.473,68.7365,14897470,256
1,Vector,10,1713.35,171.335,85.6675,23906382,512
1,Vector,10,1418.12,141.812,70.906,28883312,512
1,Vector,10,1478.89,147.889,73.9445,27696448,512
1,Vector,10,1376.876,137.68701,68.843506,29748632,512
1,Vector,10,1444.304,144.43,72.215,28359760,512
1,Vector,10,1440.7731,144.077,72.0385,28429242,512
1,Vector,10,1715.375,171.537,85.7685,23878230,512
1,Vector,10,1493.041,149.304,74.652,27433960,512
1,Vector,10,1479.953,147.995,73.9975,27676610,512
1,Vector,10,1544.922,154.49199,77.245995,26512700,512
1,Vector,10,1620.351,162.03499,81.017494,50556980,1024
1,Vector,10,1670.802,167.08,83.54,49030404,1024
1,Vector,10,1875.759,187.575,93.7875,43673196,1024
1,Vector,10,1436.559,143.655,71.8275,57025516,1024
1,Vector,10,1603.912,160.391,80.1955,51075184,1024
1,Vector,10,1854.905,185.49,92.745,44164104,1024
1,Vector,10,1628.282,162.828,81.414,50310756,1024
1,Vector,10,1609.386,160.938,80.469,50901590,1024
1,Vector,10,1662.993,166.299,83.1495,49260670,1024
1,Vector,10,1593.561,159.356,79.678,51406910,1024
1,Vector,10,1821.209,182.12,91.06,89962664,2048
1,Vector,10,1806.666,180.666,90.333,90686680,2048
1,Vector,10,1811.68,181.168,90.584,90435400,2048
1,Vector,10,1797.509,179.75,89.875,91148820,2048
1,Vector,10,1842.688,184.268,92.134,88913970,2048
1,Vector,10,1795.1279,179.51201,89.756004,91269660,2048
1,Vector,10,1842.979,184.297,92.1485,88899980,2048
1,Vector,10,1821.369,182.136,91.068,89954760,2048
1,Vector,10,1819.754,181.975,90.9875,90034344,2048
1,Vector,10,1800.6891,180.06801,90.034004,90987850,2048
1,Vector,10,2051.414,205.14099,102.570496,159734030,4096
1,Vector,10,2064.135,206.413,103.2065,158749700,4096
1,Vector,10,2182.539,218.253,109.1265,150137680,4096
1,Vector,10,2204.654,220.465,110.2325,148631310,4096
1,Vector,10,2279.921,227.992,113.996,143724340,4096
1,Vector,10,2147.431,214.74301,107.371506,152591700,4096
1,Vector,10,2154.72,215.472,107.736,152075440,4096
1,Vector,10,2111.129,211.112,105.556,155216200,4096
1,Vector,10,2111.678,211.167,105.5835,155175760,4096
1,Vector,10,2159.178,215.91699,107.958496,151762020,4096
1,Vector,10,2730.202,273.02002,136.51001,240041020,8192
1,Vector,10,2629.165,262.91602,131.45801,249265920,8192
1,Vector,10,2867.365,286.736,143.368,228558670,8192
1,Vector,10,2607.5889,260.758,130.379,251328820,8192
1,Vector,10,2567.0122,256.701,128.3505,255300930,8192
1,Vector,10,2607.706,260.77,130.385,251317250,8192
1,Vector,10,2624.986,262.49802,131.24901,249662850,8192
1,Vector,10,2698.518,269.851,134.9255,242859940,8192
1,Vector,10,2626.3281,262.63202,131.31601,249535470,8192
1,Vector,10,2728.6912,272.869,136.4345,240173870,8192
1,Vector,10,3739.449,373.944,186.972,350512400,16384
1,Vector,10,3886.4019,388.64,194.32,337258100,16384
1,Vector,10,3727.311,372.73102,186.36551,351653060,16384
1,Vector,10,3831.516,383.151,191.5755,342089660,16384
1,Vector,10,4149.2383,414.923,207.4615,315894750,16384
1,Vector,10,3844.4548,384.445,192.2225,340938240,16384
1,Vector,10,3878.0562,387.805,193.9025,337984320,16384
1,Vector,10,4022.601,402.25998,201.12999,325839000,16384
1,Vector,10,3834.324,383.432,191.716,341838980,16384
1,Vector,10,4173.5723,417.357,208.6785,314052480,16384
1,Vector,10,6024.358,602.435,301.2175,435140740,32768
1,Vector,10,6317.9277,631.792,315.896,414921380,32768
1,Vector,10,6038.397,603.839,301.9195,434128960,32768
1,Vector,10,5868.3364,586.833,293.4165,446709730,32768
1,Vector,10,5927.5703,592.757,296.3785,442245280,32768
1,Vector,10,6172.799,617.279,308.6395,424676700,32768
1,Vector,10,6479.196,647.919,323.9595,404593760,32768
1,Vector,10,6403.505,640.35,320.175,409376130,32768
