NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,Throughput,Size
1,Vector,10,528.184,52.818,26.409,2423416.3,16
1,Vector,10,896.84,89.684,44.842,1427233.4,16
1,Vector,10,842.524,84.252,42.126,1519251.8,16
1,Vector,10,387.215,38.720997,19.360498,3305700,16
1,Vector,10,408.505,40.85,20.425,3133415,16
1,Vector,10,814.15497,81.415,40.7075,1572191.9,16
1,Vector,10,948.237,94.823,47.4115,1349883.5,16
1,Vector,10,1010.02203,101.002,50.501,1267301.6,16
1,Vector,10,505.80798,50.58,25.29,2530644.5,16
1,Vector,10,445.21402,44.521,22.2605,2875047.8,16
1,Vector,10,977.471,97.746994,48.873497,2619006.3,32
1,Vector,10,497.65198,49.765,24.8825,5144177.5,32
1,Vector,10,500.07697,50.007,25.0035,5119283.5,32
1,Vector,10,733.78595,73.378006,36.689003,3488784,32
1,Vector,10,403.766,40.376,20.188,6340400.5,32
1,Vector,10,469.048,46.904,23.452,5457957,32
1,Vector,10,365.062,36.506,18.253,7012546,32
1,Vector,10,511.51297,51.151,25.5755,5004789.5,32
1,Vector,10,464.61,46.461,23.2305,5509998,32
1,Vector,10,405.505,40.55,20.275,6313193.5,32
1,Vector,10,565.236,56.523,28.2615,9058259,64
1,Vector,10,531.981,53.198,26.599,9624422,64
1,Vector,10,388.017,38.801003,19.400501,13195536,64
1,Vector,10,581.169,58.115997,29.057999,8809967,64
1,Vector,10,473.072,47.307,23.6535,10822923,64
1,Vector,10,595.73,59.573,29.7865,8594497,64
1,Vector,10,426.12802,42.612,21.306,12015395,64
1,Vector,10,722.776,72.277,36.1385,7083858,64
1,Vector,10,443.108,44.31,22.155,11554954,64
1,Vector,10,559.40796,55.94,27.97,9152664,64
1,Vector,10,885.549,88.554,44.277,11563566,128
1,Vector,10,507.95898,50.795,25.3975,20159464,128
1,Vector,10,524.232,52.423,26.2115,19533410,128
1,Vector,10,462.096,46.209,23.1045,22160186,128
1,Vector,10,372.734,37.273,18.6365,27472970,128
1,Vector,10,499.734,49.973,24.9865,20491064,128
1,Vector,10,531.55,53.155,26.5775,19264416,128
1,Vector,10,1063.3829,106.338,53.169,9629672,128
1,Vector,10,719.98096,71.998,35.999,14222617,128
1,Vector,10,840.875,84.087,42.0435,12177864,128
1,Vector,10,508.02203,50.802,25.401,40313376,256
1,Vector,10,874.298,87.429,43.7145,23424722,256
1,Vector,10,538.933,53.893,26.9465,38001224,256
1,Vector,10,438.69998,43.87,21.935,46683380,256
1,Vector,10,474.055,47.405,23.7025,43202196,256
1,Vector,10,514.735,51.473003,25.736502,39787850,256
1,Vector,10,507.1,50.710003,25.355001,40386510,256
1,Vector,10,509.17798,50.917,25.4585,40222324,256
1,Vector,10,589.057,58.905,29.4525,34767850,256
1,Vector,10,518.14105,51.814,25.907,39525996,256
1,Vector,10,449.761,44.976,22.488,91070790,512
1,Vector,10,478.707,47.87,23.935,85565070,512
1,Vector,10,500.618,50.061,25.0305,81820180,512
1,Vector,10,508.457,50.845,25.4225,80558560,512
1,Vector,10,496.655,49.665,24.8325,82472570,512
1,Vector,10,492.22696,49.222,24.611,83214824,512
1,Vector,10,925.824,92.582,46.291,44241860,512
1,Vector,10,889.06104,88.906006,44.453003,46071130,512
1,Vector,10,551.854,55.184998,27.592499,74223070,512
1,Vector,10,471.564,47.156002,23.578001,86860630,512
1,Vector,10,519.961,51.996002,25.998001,157550580,1024
1,Vector,10,612.73096,61.273,30.6365,133696740,1024
1,Vector,10,634.036,63.403,31.7015,129205240,1024
1,Vector,10,616.836,61.683,30.8415,132808060,1024
1,Vector,10,476.313,47.631,23.8155,171988830,1024
1,Vector,10,461.172,46.116997,23.058498,177635150,1024
1,Vector,10,623.66095,62.366,31.183,131353620,1024
1,Vector,10,537.46704,53.746,26.873,152420640,1024
1,Vector,10,460.673,46.067,23.0335,177827940,1024
1,Vector,10,491.178,49.117,24.5585,166785440,1024
1,Vector,10,957.92,95.792,47.896,171037250,2048
1,Vector,10,874.849,87.48399,43.741997,187279970,2048
1,Vector,10,710.141,71.014,35.507,230715070,2048
1,Vector,10,617.781,61.778004,30.889002,265207660,2048
1,Vector,10,579.06195,57.906,28.953,282941300,2048
1,Vector,10,501.33798,50.133,25.0665,326810700,2048
1,Vector,10,702.855,70.285,35.1425,233108060,2048
1,Vector,10,960.229,96.021996,48.010998,170627570,2048
1,Vector,10,651.762,65.175995,32.587997,251380880,2048
1,Vector,10,556.693,55.669,27.8345,294311000,2048
1,Vector,10,832.164,83.216,41.608,393770430,4096
1,Vector,10,1473.374,147.337,73.6685,222401700,4096
1,Vector,10,751.847,75.184,37.592,435837400,4096
1,Vector,10,918.791,91.879005,45.939503,356642980,4096
1,Vector,10,963.866,96.386,48.193,339966400,4096
1,Vector,10,849.266,84.926,42.463,385841800,4096
1,Vector,10,773.56,77.356,38.678,423599970,4096
1,Vector,10,807.53296,80.753,40.3765,405780580,4096
1,Vector,10,859.641,85.964,42.982,381182820,4096
1,Vector,10,1051.2369,105.123,52.5615,311711040,4096
1,Vector,10,936.31,93.631004,46.815502,699939100,8192
1,Vector,10,840.43604,84.043,42.0215,779791300,8192
1,Vector,10,1095.9509,109.595,54.7975,597983500,8192
1,Vector,10,946.27295,94.627,47.3135,692571900,8192
1,Vector,10,897.72205,89.772,44.886,730027140,8192
1,Vector,10,1047.76,104.776,52.388,625486700,8192
1,Vector,10,888.295,88.829,44.4145,737777100,8192
1,Vector,10,987.95593,98.795,49.3975,663353400,8192
1,Vector,10,965.959,96.595,48.2975,678461630,8192
1,Vector,10,1142.6011,114.26,57.13,573569000,8192
1,Vector,10,1370.779,137.07701,68.538506,956192450,16384
1,Vector,10,1333.7109,133.371,66.6855,982762430,16384
1,Vector,10,1428.873,142.88701,71.443504,917312260,16384
1,Vector,10,1485.8059,148.58,74.29,882164500,16384
1,Vector,10,1557.328,155.73201,77.866005,841651000,16384
1,Vector,10,1349.73,134.973,67.4865,971097900,16384
1,Vector,10,1297.727,129.772,64.886,1010017540,16384
1,Vector,10,1462.384,146.238,73.119,896292350,16384
1,Vector,10,1503.142,150.314,75.157,871988030,16384
1,Vector,10,1471.698,147.169,73.5845,890622340,16384
1,Vector,10,2040.1559,204.015,102.0075,1284925200,32768
1,Vector,10,2440.396,244.039,122.0195,1074188900,32768
1,Vector,10,2985.164,298.51602,149.25801,878157250,32768
1,Vector,10,2030.381,203.038,101.519,1291108100,32768
1,Vector,10,3056.607,305.66,152.83,857632640,32768
1,Vector,10,2667.306,266.73,133.365,982806600,32768
1,Vector,10,2062.956,206.295,103.1475,1270724000,32768
1,Vector,10,2157.1619,215.716,107.858,1215227400,32768
1,Vector,10,2273.333,227.33301,113.666504,1153127800,32768
1,Vector,10,2618.639,261.863,130.9315,1001073100,32768
1,Vector,10,3982.367,398.236,199.118,1316525800,65536
1,Vector,10,4208.282,420.828,210.414,1245848700,65536
1,Vector,10,3870.8508,387.085,193.5425,1354451800,65536
1,Vector,10,3871.7449,387.17398,193.58699,1354140500,65536
1,Vector,10,4087.531,408.753,204.3765,1282652400,65536
1,Vector,10,4472.209,447.22,223.61,1172326800,65536
1,Vector,10,3824.377,382.43698,191.21849,1370913400,65536
1,Vector,10,5428.892,542.889,271.4445,965737000,65536
1,Vector,10,4248.966,424.896,212.448,1233920800,65536
1,Vector,10,4366.5117,436.651,218.3255,1200702600,65536
1,Vector,10,6819.802,681.98,340.99,1537546600,131072
1,Vector,10,8426.513,842.651,421.3255,1244377600,131072
1,Vector,10,7761.827,776.182,388.091,1350940900,131072
1,Vector,10,7208.454,720.84503,360.42252,1454648300,131072
1,Vector,10,7492.71,749.271,374.6355,1399461600,131072
1,Vector,10,8382.449,838.24396,419.12198,1250919800,131072
1,Vector,10,7148.495,714.849,357.4245,1466849700,131072
1,Vector,10,8097.639,809.763,404.8815,1294917200,131072
