NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,ThroughputWrong,Size,Throughput
1,Sequence,100000,10200602.981,102.00603,51.00301,313706.94516,4,313706.94516
1,Vector,10,142690.101,14269.0101,7134.50505,897048913.01465,1600000,897048913.01465
1,Hashmap,10,830542.579,83054.2579,41527.12895,32535646.79674,168889,16267823.39837
2,Sequence,200000,23795450.83,118.97725,59.48863,268958.97227,4,268958.97227
2,Vector,20,555381.6,27769.08,13884.54,460944330.88889,1600000,460944330.88889
2,Hashmap,20,2059896.882,102994.8441,51497.42205,26236497.79378,168889,13118248.89689
3,Sequence,300000,31488788.819,104.96263,52.48131,304870.41134,4,304870.41134
3,Vector,30,1090709.785,36356.99283,18178.49642,352064321.12462,1600000,352064321.12462
3,Hashmap,30,2743321.335,91444.0445,45722.02225,29550573.95783,168889,14775286.978915
4,Sequence,400000,45834701.852,114.58675,57.29338,279264.38883,4,279264.38883
4,Vector,40,1882029.873,47050.74682,23525.37341,272046691.36514,1600000,272046691.36514
4,Hashmap,40,4064783.954,101619.59885,50809.79943,26591563.34585,168889,13295781.672925
5,Sequence,500000,55021870.153,110.04374,55.02187,290793.46005,4,290793.46005
5,Vector,50,3144684.435,62893.6887,31446.84435,203518035.98379,1600000,203518035.98379
5,Hashmap,50,5247418.251,104948.36502,52474.18251,25748128.61053,168889,12874064.305265
6,Sequence,600000,70229202.891,117.04867,58.52434,273390.54424,4,273390.54424
6,Vector,60,4414217.161,73570.28602,36785.14301,173983284.46216,1600000,173983284.46216
6,Hashmap,60,7339874.784,122331.2464,61165.6232,22089401.35511,168889,11044700.677555
7,Sequence,700000,80830569.262,115.47224,57.73612,277122.87819,4,277122.87819
7,Vector,70,5844352.991,83490.75701,41745.37851,153310383.78068,1600000,153310383.78068
7,Hashmap,70,9883703.733,141195.76761,70597.88381,19138137.39362,168889,9569068.69681
8,Sequence,800000,91639240.936,114.54905,57.27453,279356.30783,4,279356.30783
8,Vector,80,7763138.646,97039.23308,48519.61654,131905411.80501,1600000,131905411.80501
8,Hashmap,80,13285816.316,166072.70395,83036.35198,16271331.38516,168889,8135665.69258
9,Sequence,900000,108741542.979,120.82394,60.41197,264848.18231,4,264848.18231
9,Vector,90,9483481.05,105372.01167,52686.00583,121474382.02557,1600000,121474382.02557
9,Hashmap,90,15262193.883,169579.93203,84789.96602,15934810.01908,168889,7967405.00954
10,Sequence,1000000,124821282.335,124.82128,62.41064,256366.53783,4,256366.53783
10,Vector,100,11700659.155,117006.59155,58503.29578,109395546.27168,1600000,109395546.27168
10,Hashmap,100,18627217.321,186272.17321,93136.0866,14506858.18194,168889,7253429.09097
1,Sequence,100000,10812585.879,108.12586,54.06293,295951.40661,4,295951.40661
1,Vector,10,143694.284,14369.4284,7184.7142,890780039.65697,1600000,890780039.65697
1,Hashmap,10,930292.53,93029.253,46514.6265,29047035.34489,168889,14523517.672445
2,Sequence,200000,23394034.845,116.97017,58.48509,273574.01331,4,273574.01331
2,Vector,20,544908.734,27245.4367,13622.71835,469803444.18557,1600000,469803444.18557
2,Hashmap,20,1931101.38,96555.069,48277.5345,27986350.46286,168889,13993175.23143
3,Sequence,300000,31742612.792,105.80871,52.90435,302432.5711,4,302432.5711
3,Vector,30,1159072.102,38635.73673,19317.86837,331299493.22169,1600000,331299493.22169
3,Hashmap,30,3056311.564,101877.05213,50938.52607,26524363.86227,168889,13262181.931135
4,Sequence,400000,42081188.224,105.20297,52.60149,304173.92047,4,304173.92047
4,Vector,40,1903670.343,47591.75858,23795.87929,268954129.52283,1600000,268954129.52283
4,Hashmap,40,4800134.005,120003.35013,60001.67506,22517904.68504,168889,11258952.34252
