NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,ThroughputWrong,Size,Throughput
1,Sequence,100000,4003592.685,40.03593,20.01796,799282.10779,4,799282.10779
1,Vector,10,56443.078,5644.3078,2822.1539,2267771435.14392,1600000,2267771435.14392
1,Hashmap,10,914768.447,91476.8447,45738.42235,29539978.21921,168889,14769989.109605
2,Sequence,200000,8892354.037,44.46177,22.23089,719719.43238,4,719719.43238
2,Vector,20,128699.166,6434.9583,3217.47915,1989134879.08694,1600000,1989134879.08694
2,Hashmap,20,2525337.995,126266.89975,63133.44988,21400889.74506,168889,10700444.87253
3,Sequence,300000,12610487.814,42.03496,21.01748,761271.10557,4,761271.10557
3,Vector,30,187185.886,6239.52953,3119.76477,2051436719.96723,1600000,2051436719.96723
3,Hashmap,30,3425167.031,114172.23437,57086.11718,23667961.08519,168889,11833980.542595
4,Sequence,400000,16157059.907,40.39265,20.19632,792223.34222,4,792223.34222
4,Vector,40,281319.435,7032.98588,3516.49294,1819995124.04822,1600000,1819995124.04822
4,Hashmap,40,4071008.329,101775.20823,50887.60411,26550906.13056,168889,13275453.06528
5,Sequence,500000,22488315.122,44.97663,22.48832,711480.60285,4,711480.60285
5,Vector,50,484653.701,9693.07402,4846.53701,1320530512.15635,1600000,1320530512.15635
5,Hashmap,50,5697875.485,113957.5097,56978.75485,23712557.48843,168889,11856278.744215
6,Sequence,600000,27160815.532,45.26803,22.63401,706900.71796,4,706900.71796
6,Vector,60,647284.494,10788.0749,5394.03745,1186495284.71479,1600000,1186495284.71479
6,Hashmap,60,7966901.636,132781.69393,66390.84697,20350877.59429,168889,10175438.797145
7,Sequence,700000,29999360.537,42.85623,21.42811,746682.58253,4,746682.58253
7,Vector,70,696584.448,9951.2064,4975.6032,1286276204.66198,1600000,1286276204.66198
7,Hashmap,70,9840342.936,140576.32766,70288.16383,19222468.28492,168889,9611234.14246
8,Sequence,800000,34237767.753,42.79721,21.3986,747712.29785,4,747712.29785
8,Vector,80,1257652.411,15720.65514,7860.32757,814215431.10293,1600000,814215431.10293
8,Hashmap,80,10617054.234,132713.17793,66356.58896,20361384.16885,168889,10180692.084425
9,Sequence,900000,41854591.538,46.5051,23.25255,688096.54907,4,688096.54907
9,Vector,90,1511410.904,16793.45449,8396.72724,762201726.1826,1600000,762201726.1826
9,Hashmap,90,12298441.759,136649.35288,68324.67644,19774875.93678,168889,9887437.96839
10,Sequence,1000000,45396489.565,45.39649,22.69824,704900.31953,4,704900.31953
10,Vector,100,1325196.747,13251.96747,6625.98374,965894311.84289,1600000,965894311.84289
10,Hashmap,100,13193757.994,131937.57994,65968.78997,20481079.01652,168889,10240539.50826
1,Sequence,100000,3985584.525,39.85585,19.92792,802893.52288,4,802893.52288
1,Vector,10,45782.303,4578.2303,2289.11515,2795840130.62864,1600000,2795840130.62864
1,Hashmap,10,820392.184,82039.2184,41019.6092,32938197.76323,168889,16469098.881615
2,Sequence,200000,7369012.602,36.84506,18.42253,868501.70378,4,868501.70378
2,Vector,20,95134.451,4756.72255,2378.36128,2690928441.89536,1600000,2690928441.89536
2,Hashmap,20,1733631.421,86681.57105,43340.78553,31174146.56042,168889,15587073.28021
3,Sequence,300000,12082469.636,40.2749,20.13745,794539.55104,4,794539.55104
3,Vector,30,207303.067,6910.10223,3455.05112,1852360438.06337,1600000,1852360438.06337
3,Hashmap,30,3416521.017,113884.0339,56942.01695,23727856.37689,168889,11863928.188445
4,Sequence,400000,17284164.755,43.21041,21.60521,740562.25345,4,740562.25345
4,Vector,40,310201.802,7755.04505,3877.52253,1650538445.29246,1600000,1650538445.29246
4,Hashmap,40,5185325.044,129633.1261,64816.56305,20845165.74811,168889,10422582.874055
5,Sequence,500000,20608011.28,41.21602,20.60801,776397.09056,4,776397.09056
5,Vector,50,557252.637,11145.05274,5572.52637,1148491649.03997,1600000,1148491649.03997
5,Hashmap,50,6002928.377,120058.56754,60029.28377,22507548.23557,168889,11253774.117785
6,Sequence,600000,27823118.152,46.37186,23.18593,690073.62493,4,690073.62493
6,Vector,60,603094.902,10051.5817,5025.79085,1273431424.23048,1600000,1273431424.23048
6,Hashmap,60,7485315.267,124755.25445,62377.62723,21660201.90423,168889,10830100.952115
7,Sequence,700000,31124794.366,44.46399,22.232,719683.4696,4,719683.4696
7,Vector,70,818641.236,11694.8748,5847.4374,1094496539.62948,1600000,1094496539.62948
7,Hashmap,70,10055199.666,143645.70951,71822.85476,18811727.89036,168889,9405863.94518
8,Sequence,800000,36503831.189,45.62979,22.81489,701296.2521,4,701296.2521
8,Vector,80,844314.178,10553.92723,5276.96361,1212818671.86648,1600000,1212818671.86648
8,Hashmap,80,9986298.644,124828.73305,62414.36653,21647451.94456,168889,10823725.97228
9,Sequence,900000,40466790.813,44.9631,22.48155,711694.68647,4,711694.68647
9,Vector,90,1557780.193,17308.66881,8654.33441,739513832.03908,1600000,739513832.03908
9,Hashmap,90,12301157.592,136679.5288,68339.7644,19770510.06632,168889,9885255.03316
10,Sequence,1000000,44723434.223,44.72343,22.36172,715508.55957,4,715508.55957
10,Vector,100,1354794.819,13547.94819,6773.9741,944792511.78772,1600000,944792511.78772
10,Hashmap,100,11749363.287,117493.63287,58746.81644,22998897.33591,168889,11499448.667955
1,Sequence,100000,3454722.666,34.54723,17.27361,926268.27372,4,926268.27372
1,Vector,10,39831.083,3983.1083,1991.55415,3213570667.9128,1600000,3213570667.9128
1,Hashmap,10,812685.051,81268.5051,40634.25255,33250568.55266,168889,16625284.27633
2,Sequence,200000,8047577.08,40.23789,20.11894,795270.41945,4,795270.41945
2,Vector,20,103058.858,5152.9429,2576.47145,2484017433.99874,1600000,2484017433.99874
2,Hashmap,20,2129824.859,106491.24295,53245.62148,25375081.79211,168889,12687540.896055
3,Sequence,300000,12119749.778,40.39917,20.19958,792095.56103,4,792095.56103
3,Vector,30,193332.837,6444.4279,3222.21395,1986211995.63735,1600000,1986211995.63735
3,Hashmap,30,3241699.542,108056.6514,54028.3257,25007474.92162,168889,12503737.46081
4,Sequence,400000,17516157.317,43.79039,21.8952,730753.88445,4,730753.88445
4,Vector,40,320207.16,8005.179,4002.5895,1598964870.11721,1600000,1598964870.11721
4,Hashmap,40,4618324.672,115458.1168,57729.0584,23404365.79856,168889,11702182.89928
5,Sequence,500000,20711152.649,41.42231,20.71115,772530.63947,4,772530.63947
5,Vector,50,506785.771,10135.71542,5067.85771,1262861028.51139,1600000,1262861028.51139
5,Hashmap,50,6141794.086,122835.88172,61417.94086,21998653.50549,168889,10999326.752745
6,Sequence,600000,26918893.34,44.86482,22.43241,713253.6898,4,713253.6898
6,Vector,60,643046.1,10717.435,5358.7175,1194315617.49616,1600000,1194315617.49616
6,Hashmap,60,7579105.702,126318.42837,63159.21418,21392159.75801,168889,10696079.879005
7,Sequence,700000,31109262.7,44.4418,22.2209,720042.78006,4,720042.78006
7,Vector,70,706400.053,10091.42933,5045.71466,1268403075.84179,1600000,1268403075.84179
7,Hashmap,70,10472137.592,149601.9656,74800.9828,18062757.32516,168889,9031378.66258
8,Sequence,800000,35373861.786,44.21733,22.10866,723698.19713,4,723698.19713
8,Vector,80,1103519.912,13793.9989,6896.99945,927939757.91893,1600000,927939757.91893
8,Hashmap,80,10275274.58,128440.93225,64220.46613,21038651.40702,168889,10519325.70351
9,Sequence,900000,40261732.251,44.73526,22.36763,715319.44578,4,715319.44578
9,Vector,90,1132518.304,12583.53671,6291.76836,1017202102.54544,1600000,1017202102.54544
9,Hashmap,90,11514451.104,127938.3456,63969.1728,21121298.6015,168889,10560649.30075
10,Sequence,1000000,45528607.62,45.52861,22.7643,702854.79115,4,702854.79115
10,Vector,100,1398287.209,13982.87209,6991.43605,915405641.81761,1600000,915405641.81761
10,Hashmap,100,12558869.834,125588.69834,62794.34917,21516458.37338,168889,10758229.18669
1,Sequence,100000,3547408.055,35.47408,17.73704,902067.07274,4,902067.07274
1,Vector,10,45818.942,4581.8942,2290.9471,2793604444.20563,1600000,2793604444.20563
1,Hashmap,10,986053.423,98605.3423,49302.67115,27404438.10619,168889,13702219.053095
2,Sequence,200000,6996511.468,34.98256,17.49128,914741.58647,4,914741.58647
2,Vector,20,88023.84,4401.192,2200.596,2908303023.36276,1600000,2908303023.36276
2,Hashmap,20,1788303.247,89415.16235,44707.58118,30221093.7047,168889,15110546.85235
3,Sequence,300000,13634247.801,45.44749,22.72375,704109.25048,4,704109.25048
3,Vector,30,222923.817,7430.7939,3715.39695,1722561569.09425,1600000,1722561569.09425
3,Hashmap,30,3258438.876,108614.6292,54307.3146,24879005.89362,168889,12439502.94681
4,Sequence,400000,16224571.632,40.56143,20.28071,788926.83827,4,788926.83827
4,Vector,40,329865.005,8246.62513,4123.31256,1552150098.49256,1600000,1552150098.49256
4,Hashmap,40,4270576.405,106764.41013,53382.20506,25310157.16601,168889,12655078.583005
5,Sequence,500000,20610494.432,41.22099,20.61049,776303.55025,4,776303.55025
5,Vector,50,578207.836,11564.15672,5782.07836,1106868430.61048,1600000,1106868430.61048
5,Hashmap,50,5290399.974,105807.99948,52903.99974,25538938.58007,168889,12769469.290035
6,Sequence,600000,25016580.625,41.6943,20.84715,767490.98079,4,767490.98079
6,Vector,60,660705.03,11011.7505,5505.87525,1162394661.95679,1600000,1162394661.95679
6,Hashmap,60,7950588.238,132509.80397,66254.90198,20392634.50031,168889,10196317.250155
7,Sequence,700000,30569053.865,43.67008,21.83504,732767.19976,4,732767.19976
7,Vector,70,775093.671,11072.76673,5536.38336,1155989312.67754,1600000,1155989312.67754
7,Hashmap,70,10020187.255,143145.53221,71572.76611,18877459.59095,168889,9438729.795475
8,Sequence,800000,34552996.093,43.19125,21.59562,740890.8892,4,740890.8892
8,Vector,80,1043734.325,13046.67906,6523.33953,981092578.32447,1600000,981092578.32447
8,Hashmap,80,10277588.914,128469.86143,64234.93071,21033913.86919,168889,10516956.934595
9,Sequence,900000,41363660.139,45.95962,22.97981,696263.33606,4,696263.33606
9,Vector,90,1412576.364,15695.29293,7847.64647,815531131.17218,1600000,815531131.17218
9,Hashmap,90,10882385.975,120915.39972,60457.69986,22348054.97238,168889,11174027.48619
10,Sequence,1000000,45505531.124,45.50553,22.75277,703211.21872,4,703211.21872
10,Vector,100,1625659.657,16256.59657,8128.29829,787372679.4464,1600000,787372679.4464
10,Hashmap,100,11639468.756,116394.68756,58197.34378,23216042.38687,168889,11608021.193435
1,Sequence,100000,4251277.679,42.51278,21.25639,752714.88753,4,752714.88753
1,Vector,10,64426.602,6442.6602,3221.3301,1986756961.04538,1600000,1986756961.04538
1,Hashmap,10,931079.078,93107.9078,46553.9539,29022497.27063,168889,14511248.635315
2,Sequence,200000,8128562.919,40.64281,20.32141,787347.04569,4,787347.04569
2,Vector,20,119457.555,5972.87775,2986.43888,2143020590.033,1600000,2143020590.033
2,Hashmap,20,2013441.239,100672.06195,50336.03098,26841846.16525,168889,13420923.082625
3,Sequence,300000,13044232.52,43.48078,21.74039,735957.44213,4,735957.44213
3,Vector,30,203071.941,6769.0647,3384.53235,1890955481.63397,1600000,1890955481.63397
3,Hashmap,30,3022765.584,100758.8528,50379.4264,26818725.35174,168889,13409362.67587
4,Sequence,400000,17075384.115,42.68846,21.34423,749617.10459,4,749617.10459
4,Vector,40,259004.335,6475.10838,3237.55419,1976800890.22448,1600000,1976800890.22448
4,Hashmap,40,4470602.013,111765.05033,55882.52516,24177719.17198,168889,12088859.58599
5,Sequence,500000,21181466.739,42.36293,21.18147,755377.33988,4,755377.33988
5,Vector,50,446495.272,8929.90544,4464.95272,1433385838.85385,1600000,1433385838.85385
5,Hashmap,50,5978815.823,119576.31646,59788.15823,22598321.13915,168889,11299160.569575
6,Sequence,600000,25861045.563,43.10174,21.55087,742429.37909,4,742429.37909
6,Vector,60,518933.901,8648.89835,4324.44918,1479957271.08991,1600000,1479957271.08991
6,Hashmap,60,8571026.173,142850.43622,71425.21811,18916456.06109,168889,9458228.030545
7,Sequence,700000,30953945.389,44.21992,22.10996,723655.73172,4,723655.73172
7,Vector,70,762741.113,10896.30161,5448.15081,1174710507.57428,1600000,1174710507.57428
7,Hashmap,70,10870605.004,155294.3572,77647.1786,17400658.00665,168889,8700329.003325
8,Sequence,800000,34649714.224,43.31214,21.65607,738822.83226,4,738822.83226
8,Vector,80,734066.693,9175.83366,4587.91683,1394968617.65393,1600000,1394968617.65393
8,Hashmap,80,10328153.775,129101.92219,64550.96109,20930935.45172,168889,10465467.72586
9,Sequence,900000,41171253.377,45.74584,22.87292,699517.20285,4,699517.20285
9,Vector,90,1409748.951,15663.87723,7831.93862,817166772.27022,1600000,817166772.27022
9,Hashmap,90,12727858.769,141420.65299,70710.32649,19107704.16406,168889,9553852.08203
10,Sequence,1000000,45328571.817,45.32857,22.66429,705956.50199,4,705956.50199
10,Vector,100,1490733.198,14907.33198,7453.66599,858637884.84571,1600000,858637884.84571
10,Hashmap,100,11565875.169,115658.75169,57829.37585,23363765.91062,168889,11681882.95531
1,Sequence,100000,4187269.661,41.8727,20.93635,764221.14148,4,764221.14148
1,Vector,10,50673.482,5067.3482,2533.6741,2525976012.46348,1600000,2525976012.46348
1,Hashmap,10,832392.263,83239.2263,41619.61315,32463348.35287,168889,16231674.176435
2,Sequence,200000,8957264.88,44.78632,22.39316,714503.82296,4,714503.82296
2,Vector,20,126545.831,6327.29155,3163.64578,2022982487.66488,1600000,2022982487.66488
2,Hashmap,20,2115488.272,105774.4136,52887.2068,25547047.79758,168889,12773523.89879
3,Sequence,300000,11928946.162,39.76315,19.88158,804765.13764,4,804765.13764
3,Vector,30,197245,6574.83333,3287.41667,1946817409.82027,1600000,1946817409.82027
3,Hashmap,30,3060572.778,102019.0926,51009.5463,26487434.17661,168889,13243717.088305
4,Sequence,400000,16569687.097,41.42422,20.71211,772494.97381,4,772494.97381
4,Vector,40,248130.414,6203.26035,3101.63018,2063431047.19118,1600000,2063431047.19118
4,Hashmap,40,4439422.555,110985.56387,55492.78194,24347526.88236,168889,12173763.44118
5,Sequence,500000,22153052.256,44.3061,22.15305,722248.10446,4,722248.10446
5,Vector,50,660218.159,13204.36318,6602.18159,969376548.15399,1600000,969376548.15399
5,Hashmap,50,5399457.199,107989.14398,53994.57199,25023107.88296,168889,12511553.94148
6,Sequence,600000,26431564.201,44.05261,22.0263,726404.22844,4,726404.22844
6,Vector,60,657363.255,10956.05425,5478.02713,1168303817.04253,1600000,1168303817.04253
6,Hashmap,60,7329866.196,122164.4366,61082.2183,22119563.3951,168889,11059781.69755
7,Sequence,700000,30408081.767,43.44012,21.72006,736646.26962,4,736646.26962
7,Vector,70,986097.213,14087.10304,7043.55152,908632524.44868,1600000,908632524.44868
7,Hashmap,70,9613260.474,137332.29249,68666.14624,19676537.47775,168889,9838268.738875
8,Sequence,800000,35020832.347,43.77604,21.88802,730993.47686,4,730993.47686
8,Vector,80,1046909.507,13086.36884,6543.18442,978117013.12595,1600000,978117013.12595
8,Hashmap,80,10477596.384,130969.9548,65484.9774,20632396.21733,168889,10316198.108665
9,Sequence,900000,39919017.008,44.35446,22.17723,721460.65105,4,721460.65105
9,Vector,90,1400468.981,15560.76646,7780.38323,822581589.18837,1600000,822581589.18837
9,Hashmap,90,12094023.522,134378.03913,67189.01957,20109119.14944,168889,10054559.57472
10,Sequence,1000000,45877522.191,45.87752,22.93876,697509.33511,4,697509.33511
10,Vector,100,1520474.281,15204.74281,7602.37141,841842585.5636,1600000,841842585.5636
10,Hashmap,100,11567856.035,115678.56035,57839.28018,23359765.12695,168889,11679882.563475
1,Sequence,100000,3599331.83,35.99332,17.99666,889053.89976,4,889053.89976
1,Vector,10,41018.488,4101.8488,2050.9244,3120544082.4635,1600000,3120544082.4635
1,Hashmap,10,885248.545,88524.8545,44262.42725,30525031.81465,168889,15262515.907325
2,Sequence,200000,8207385.499,41.03693,20.51846,779785.47502,4,779785.47502
2,Vector,20,123359.19,6167.9595,3083.97975,2075240604.28737,1600000,2075240604.28737
2,Hashmap,20,2096829.278,104841.4639,52420.73195,25774382.57231,168889,12887191.286155
3,Sequence,300000,11701971.67,39.00657,19.50329,820374.57197,4,820374.57197
3,Vector,30,177086.449,5902.88163,2951.44082,2168432436.06969,1600000,2168432436.06969
3,Hashmap,30,3603242.284,120108.07613,60054.03807,22498270.61588,168889,11249135.30794
4,Sequence,400000,16430972.265,41.07743,20.53872,779016.59096,4,779016.59096
4,Vector,40,244100.581,6102.51453,3051.25726,2097496031.76897,1600000,2097496031.76897
4,Hashmap,40,4330213.946,108255.34865,54127.67433,24961574.95863,168889,12480787.479315
5,Sequence,500000,20575016.242,41.15003,20.57502,777642.15648,4,777642.15648
5,Vector,50,507755.303,10155.10606,5077.55303,1260449661.91126,1600000,1260449661.91126
5,Hashmap,50,5787112.834,115742.25668,57871.12834,23346909.56883,168889,11673454.784415
6,Sequence,600000,26946516.999,44.91086,22.45543,712522.51268,4,712522.51268
6,Vector,60,523579.718,8726.32863,4363.16432,1466825344.06346,1600000,1466825344.06346
6,Hashmap,60,7678778.825,127979.64708,63989.82354,21114482.3539,168889,10557241.17695
7,Sequence,700000,32078869.883,45.82696,22.91348,698278.96312,4,698278.96312
7,Vector,70,1179608.23,16851.54614,8425.77307,759574218.97607,1600000,759574218.97607
7,Hashmap,70,9653052.289,137900.74699,68950.37349,19595426.84914,168889,9797713.42457
8,Sequence,800000,34695375.116,43.36922,21.68461,737850.50354,4,737850.50354
8,Vector,80,904385.817,11304.82271,5652.41136,1132260126.98516,1600000,1132260126.98516
