NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,Throughput
1,Sequence,100000,9596609,95.966,47.983,333451.4
1,Vector,1,112580.78,112580.78,56290.39,568480700
1,Hashmap,1,92248.23,92248.23,46124.113,155137070
2,Sequence,200000,22985304,114.926,57.463,278440.03
2,Vector,2,328060.8,164030.4,82015.2,390171600
2,Hashmap,2,219151.44,109575.72,54787.86,130604850
3,Sequence,300000,35454068,118.18,59.09,270773.38
3,Vector,3,780018.56,260006.19,130003.09,246147980
3,Hashmap,3,418484.72,139494.9,69747.45,102592420
4,Sequence,400000,45484310,113.71,56.855,281417.66
4,Vector,4,1182764,295691.03,147845.52,216442130
4,Hashmap,4,654032.56,163508.14,81754.07,87525420
5,Sequence,500000,56805172,113.61,56.805,281665.34
5,Vector,5,1883576.9,376715.38,188357.69,169889540
5,Hashmap,5,844621.56,168924.31,84462.16,84719120
6,Sequence,600000,71310744,118.851,59.4255,269244.7
6,Vector,6,2517231.8,419538.63,209769.31,152548530
6,Hashmap,6,1063220.4,177203.39,88601.695,80760984
7,Sequence,700000,79474904,113.535,56.7675,281851.4
7,Vector,7,3426135.3,489447.9,244723.95,130759576
7,Hashmap,7,1317833.4,188261.92,94130.96,76017070
8,Sequence,800000,99008780,123.759995,61.879997,258564.98
8,Vector,8,4790572.5,598821.56,299410.78,106876580
8,Hashmap,8,1683014.6,210376.83,105188.414,68026120
9,Sequence,900000,102882990,114.314,57.157,279930.72
9,Vector,9,5881753,653528.1,326764.06,97929980
9,Hashmap,9,2061770,229085.56,114542.78,62470630
10,Sequence,1000000,114298050,114.298004,57.149002,279969.9
10,Vector,10,6915871.5,691587.1,345793.56,92540760
10,Hashmap,10,2400117,240011.67,120005.836,59626764
1,Sequence,100000,12009338,120.092995,60.046497,266460.16
1,Vector,1,116918.23,116918.23,58459.113,547391100
1,Hashmap,1,85713.234,85713.234,42856.617,166965100
2,Sequence,200000,21507556,107.537,53.7685,297572
2,Vector,2,348842.06,174421.03,87210.516,366928220
2,Hashmap,2,244215.45,122107.73,61053.863,117200770
3,Sequence,300000,34218628,114.062004,57.031002,280549.2
3,Vector,3,689085.06,229695,114847.5,278630340
3,Hashmap,3,395909.3,131969.77,65984.88,108442420
4,Sequence,400000,41792560,104.480995,52.240498,306275.78
4,Vector,4,1220976.1,305244,152622,209668340
4,Hashmap,4,635290.4,158822.6,79411.3,90107580
5,Sequence,500000,49082044,98.163994,49.081997,325985.1
5,Vector,5,1818329.1,363665.78,181832.89,175985760
5,Hashmap,5,931871.94,186374.38,93187.19,76786950
6,Sequence,600000,72505670,120.842,60.421,264808.6
6,Vector,6,2843703.8,473950.6,236975.3,135035170
6,Hashmap,6,1072118.4,178686.4,89343.2,80090700
7,Sequence,700000,77629450,110.899,55.4495,288550.84
7,Vector,7,3502544.5,500363.47,250181.73,127907016
7,Hashmap,7,1546399.4,220914.22,110457.11,64781344
8,Sequence,800000,97512130,121.89,60.945,262531.78
8,Vector,8,4618624,577328.06,288664.03,110855510
8,Hashmap,8,1731087.3,216385.89,108192.945,66137030
9,Sequence,900000,108144610,120.16,60.08,266311.6
9,Vector,9,5979614.5,664401.5,332200.75,96327290
9,Hashmap,9,2197018,244113.11,122056.555,58624956
10,Sequence,1000000,113750670,113.75,56.875,281318.7
10,Vector,10,7256809.5,725680.94,362840.47,88193020
10,Hashmap,10,2655011.3,265501.13,132750.56,53902296
1,Sequence,100000,12091415,120.914,60.457,264650.9
1,Vector,1,117021.89,117021.89,58510.945,546906240
1,Hashmap,1,85644.32,85644.32,42822.16,167099470
2,Sequence,200000,20784882,103.924,51.962,307917.3
2,Vector,2,346483.72,173241.86,86620.93,369425730
2,Hashmap,2,237997.56,118998.78,59499.39,120262744
3,Sequence,300000,33119130,110.396996,55.198498,289862.94
3,Vector,3,706127.6,235375.86,117687.93,271905540
3,Hashmap,3,370194.2,123398.07,61699.035,115975230
4,Sequence,400000,46737156,116.841995,58.420998,273874.13
4,Vector,4,1207590.1,301897.5,150948.75,211992480
4,Hashmap,4,703702.8,175925.7,87962.85,81347520
5,Sequence,500000,55074696,110.148994,55.074497,290515.6
5,Vector,5,1783606.5,356721.3,178360.66,179411760
5,Hashmap,5,994304.56,198860.9,99430.45,71965480
6,Sequence,600000,74346344,123.909996,61.954998,258251.97
6,Vector,6,2659097.3,443182.84,221591.42,144409920
6,Hashmap,6,1053918.8,175653.11,87826.555,81473760
7,Sequence,700000,80580810,115.115,57.5575,277982.88
7,Vector,7,3434680.8,490668.7,245334.34,130434250
7,Hashmap,7,1363495.6,194785.08,97392.54,73471336
8,Sequence,800000,96761624,120.951996,60.475998,264567.78
8,Vector,8,4627315.5,578414.44,289207.22,110647304
