NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,Throughput
1,Sequence,1000,290943.13,290.943,145.4715,109987.18
1,Vector,1,46654.9,46654.9,23327.45,685887200
1,Hashmap,1,88903.59,88903.59,44451.797,160973470
2,Sequence,2000,627884.3,313.942,156.971,101929.66
2,Vector,2,151707.66,75853.83,37926.914,421864030
2,Hashmap,2,313568.3,156784.16,78392.08,91279120
3,Sequence,3000,938664.3,312.888,156.444,102273.016
3,Vector,3,333586.78,111195.6,55597.8,287781150
3,Hashmap,3,539309.44,179769.81,89884.91,79608024
4,Sequence,4000,1275588.1,318.89697,159.44849,100345.88
4,Vector,4,552632.75,138158.19,69079.09,231618560
4,Hashmap,4,806738.2,201684.55,100842.27,70957940
5,Sequence,5000,1630412.9,326.082,163.041,98134.83
5,Vector,5,838554.9,167710.97,83855.484,190804450
5,Hashmap,5,1168289.9,233657.97,116828.984,61248156
6,Sequence,6000,1913669.4,318.944,159.472,100331.09
6,Vector,6,1227461.5,204576.9,102288.45,156420380
6,Hashmap,6,1509235,251539.17,125769.586,56894200
7,Sequence,7000,2197949.3,313.992,156.996,101913.42
7,Vector,7,1572306.3,224615.19,112307.59,142465870
7,Hashmap,7,1781820.3,254545.75,127272.875,56222190
8,Sequence,8000,2690838.8,336.35397,168.17699,95137.87
8,Vector,8,2074203.3,259275.4,129637.7,123420890
8,Hashmap,8,2310420.3,288802.53,144401.27,49553304
9,Sequence,9000,3020079.3,335.564,167.782,95361.84
9,Vector,9,2590012.5,287779.2,143889.6,111196370
9,Hashmap,9,2843365.3,315929.47,157964.73,45298464
10,Sequence,10000,3320462,332.04602,166.02301,96372.19
10,Vector,10,3088290.8,308829.06,154414.53,103617190
10,Hashmap,10,3208340.5,320834.03,160417.02,44605988
1,Sequence,1000,296561,296.56097,148.28049,107903.61
1,Vector,1,49700.082,49700.082,24850.041,643862140
1,Hashmap,1,102284.12,102284.12,51142.06,139915360
2,Sequence,2000,623649.94,311.824,155.912,102621.99
2,Vector,2,154172.03,77086.016,38543.008,415120670
2,Hashmap,2,298315.72,149157.86,74578.93,95946136
