NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,Throughput
1,Sequence,1000,168597.94,168.597,84.2985,189801.7
1,Vector,1,18827.287,18827.287,9413.644,1699660700
1,Hashmap,1,83084.79,83084.79,41542.395,172247170
2,Sequence,2000,373406.7,186.70299,93.351494,171395.22
2,Vector,2,47352.93,23676.465,11838.232,1351553200
2,Hashmap,2,173145.83,86572.914,43286.457,165307140
3,Sequence,3000,567418.94,189.13899,94.569496,169187.73
3,Vector,3,73441.53,24480.508,12240.254,1307162400
3,Hashmap,3,270057.16,90019.055,45009.527,158978780
4,Sequence,4000,724902.25,181.22499,90.612495,176576.08
4,Vector,4,92843.445,23210.861,11605.431,1378665000
4,Hashmap,4,559419.4,139854.84,69927.42,102328376
5,Sequence,5000,951753.44,190.34999,95.174995,168111.38
5,Vector,5,135982.7,27196.54,13598.27,1176620300
5,Hashmap,5,615978.5,123195.695,61597.848,116165750
6,Sequence,6000,1181457,196.909,98.4545,162511.63
6,Vector,6,173281.73,28880.29,14440.145,1108022100
6,Hashmap,6,612524.8,102087.48,51043.74,140184880
7,Sequence,7000,1407281.4,201.04001,100.520004,159172.3
7,Vector,7,236934.9,33847.84,16923.92,945407500
7,Hashmap,7,968311.44,138330.2,69165.1,103456216
8,Sequence,8000,1643318.1,205.414,102.707,155782.95
8,Vector,8,273920.13,34240.016,17120.008,934579000
8,Hashmap,8,951504.2,118938.02,59469.01,120324184
9,Sequence,9000,1852625.4,205.847,102.9235,155455.27
9,Vector,9,313522.97,34835.887,17417.943,918592960
9,Hashmap,9,1131628.1,125736.46,62868.23,113818376
10,Sequence,10000,1958908.1,195.89,97.945,163356.98
10,Vector,10,360453.94,36045.39,18022.695,887769540
10,Hashmap,10,1229603.8,122960.375,61480.188,116388060
1,Sequence,1000,207896.98,207.896,103.948,153923.13
1,Vector,1,23853.012,23853.012,11926.506,1341549700
1,Hashmap,1,103522.89,103522.89,51761.445,138241120
2,Sequence,2000,337519.1,168.759,84.3795,189619.52
2,Vector,2,47507.605,23753.803,11876.901,1347152600
2,Hashmap,2,302144.6,151072.3,75536.15,94730270
3,Sequence,3000,571143,190.38,95.19,168084.88
3,Vector,3,91645.73,30548.576,15274.288,1047512000
3,Hashmap,3,370187.7,123395.91,61697.953,115977270
4,Sequence,4000,795877.1,198.96901,99.484505,160829.06
4,Vector,4,107757.055,26939.264,13469.632,1187857300
4,Hashmap,4,511653,127913.25,63956.625,111881450
5,Sequence,5000,929841,185.968,92.984,172072.61
5,Vector,5,133424.16,26684.834,13342.417,1199183100
5,Hashmap,5,670879.75,134175.95,67087.98,106659340
6,Sequence,6000,1139855.5,189.975,94.9875,168443.22
6,Vector,6,173418.17,28903.027,14451.514,1107150500
6,Hashmap,6,759245.25,126540.87,63270.434,113094850
7,Sequence,7000,1438787.3,205.541,102.7705,155686.7
7,Vector,7,205954.16,29422.021,14711.011,1087620700
7,Hashmap,7,1003196.5,143313.8,71656.9,99858630
8,Sequence,8000,1603858.3,200.482,100.241,159615.33
8,Vector,8,264729.8,33091.227,16545.613,967023740
8,Hashmap,8,965053.1,120631.64,60315.82,118634880
9,Sequence,9000,1733964.4,192.662,96.331,166093.98
9,Vector,9,307272.53,34141.39,17070.695,937278700
9,Hashmap,9,1261123.3,140124.8,70062.4,102131250
10,Sequence,10000,2022343.4,202.23401,101.117004,158232.53
10,Vector,10,379713.72,37971.375,18985.688,842740100
10,Hashmap,10,1295270,129526.984,64763.492,110487550
1,Sequence,1000,179196.5,179.196,89.598,178575.42
1,Vector,1,20102.838,20102.838,10051.419,1591815000
1,Hashmap,1,73386.164,73386.164,36693.082,195011150
2,Sequence,2000,364534.7,182.267,91.1335,175566.61
2,Vector,2,41784.77,20892.385,10446.192,1531658500
2,Hashmap,2,168766.94,84383.47,42191.734,169596260
3,Sequence,3000,558654,186.218,93.109,171841.6
3,Vector,3,85038.5,28346.166,14173.083,1128900500
3,Hashmap,3,328215.3,109405.09,54702.547,130808536
4,Sequence,4000,715532.7,178.883,89.4415,178887.88
4,Vector,4,97645.93,24411.482,12205.741,1310858500
4,Hashmap,4,370963.75,92740.94,46370.47,154312860
5,Sequence,5000,949767.56,189.953,94.9765,168462.72
5,Vector,5,136713.17,27342.637,13671.318,1170333400
5,Hashmap,5,633326.7,126665.336,63332.668,112983710
6,Sequence,6000,1132694.9,188.782,94.391,169507.69
6,Vector,6,169578.83,28263.137,14131.568,1132216800
6,Hashmap,6,762600.7,127100.11,63550.055,112597224
7,Sequence,7000,1371532.8,195.933,97.9665,163321.14
7,Vector,7,223859.98,31979.996,15989.998,1000625500
7,Hashmap,7,865965.25,123709.32,61854.66,115683440
8,Sequence,8000,1501106.3,187.638,93.819,170541.16
8,Vector,8,253734.44,31716.805,15858.402,1008928900
8,Hashmap,8,1153384,144173,72086.5,99263530
9,Sequence,9000,1784700.6,198.3,99.15,161371.66
9,Vector,9,296188.94,32909.887,16454.943,972352260
9,Hashmap,9,1410766,156751.78,78375.89,91297976
10,Sequence,10000,1985568,198.556,99.278,161163.61
10,Vector,10,402412.4,40241.242,20120.621,795204100
10,Hashmap,10,1559231.3,155923.14,77961.57,91783170
1,Sequence,1000,161485,161.485,80.7425,198160.81
1,Vector,1,18997.844,18997.844,9498.922,1684401700
1,Hashmap,1,85395.125,85395.125,42697.563,167587070
2,Sequence,2000,389139.84,194.569,97.2845,164466.08
2,Vector,2,51921.387,25960.693,12980.347,1232632700
2,Hashmap,2,188412.67,94206.336,47103.168,151912510
3,Sequence,3000,565336.1,188.445,94.2225,169810.81
3,Vector,3,75428.4,25142.799,12571.399,1272730200
3,Hashmap,3,294615,98205.01,49102.504,145726990
4,Sequence,4000,767081.7,191.77,95.885,166866.56
4,Vector,4,112519.586,28129.896,14064.948,1137579800
4,Hashmap,4,366316.34,91579.086,45789.543,156270610
5,Sequence,5000,967383.06,193.476,96.738,165395.2
5,Vector,5,131501.5,26300.3,13150.15,1216716200
5,Hashmap,5,494928.84,98985.766,49492.883,144577550
6,Sequence,6000,1140055.6,190.009,95.0045,168413.08
