NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,Throughput,Size
1,Sequence,10000,266279.97,26.627,13.3135,1201787.6,4
1,Vector,10,76043.586,7604.358,3802.179,1683245300,1600000
1,Hashmap,10,824158.56,82415.85,41207.926,17364524,178889
2,Sequence,20000,638570.06,31.928001,15.964001,1002255.06,4
2,Vector,20,177468.47,8873.423,4436.7114,1442510000,1600000
2,Hashmap,20,1635555.8,81777.78,40888.89,17500010,178889
3,Sequence,30000,895155.6,29.838,14.919,1072458,4
3,Vector,30,242961.23,8098.7065,4049.3533,1580499300,1600000
3,Hashmap,30,2024844.6,67494.83,33747.414,21203284,178889
4,Sequence,40000,1226249.3,30.656,15.328,1043841.4,4
4,Vector,40,361192.66,9029.815,4514.9077,1417526300,1600000
4,Hashmap,40,3272069.3,81801.73,40900.863,17494888,178889
5,Sequence,50000,1541696.9,30.833002,15.416501,1037849,4
5,Vector,50,462448.22,9248.964,4624.482,1383938800,1600000
5,Hashmap,50,4144288,82885.76,41442.88,17266078,178889
6,Sequence,60000,1793478.8,29.891,14.9455,1070556.4,4
6,Vector,60,561837.56,9363.959,4681.9795,1366943200,1600000
6,Hashmap,60,4848854,80814.234,40407.117,17708662,178889
7,Sequence,70000,2153122.8,30.758001,15.379001,1040379.7,4
7,Vector,70,663786.1,9482.657,4741.3286,1349832600,1600000
7,Hashmap,70,5663592,80908.45,40454.227,17688040,178889
8,Sequence,80000,2515356.5,31.440998,15.720499,1017779.4,4
8,Vector,80,757086.2,9463.576,4731.788,1352554100,1600000
8,Hashmap,80,7350443,91880.54,45940.27,15575790,178889
9,Sequence,90000,3065616.3,34.062,17.031,939463.4,4
9,Vector,90,894513.9,9939.043,4969.5215,1287850400,1600000
9,Hashmap,90,7773197.5,86368.87,43184.434,16569767,178889
10,Sequence,100000,3282911,32.829002,16.414501,974747.94,4
10,Vector,100,994330.2,9943.301,4971.6504,1287298800,1600000
10,Hashmap,100,8863207,88632.07,44316.035,16146661,178889
1,Sequence,10000,277009.78,27.7,13.85,1155234.6,4
1,Vector,10,76909.19,7690.918,3845.459,1664300700,1600000
1,Hashmap,10,721147.7,72114.766,36057.383,19844924,178889
2,Sequence,20000,574022.06,28.701,14.3505,1114943.8,4
2,Vector,20,147944.9,7397.245,3698.6226,1730373900,1600000
2,Hashmap,20,1574251.4,78712.57,39356.285,18181494,178889
3,Sequence,30000,874787.7,29.159,14.5795,1097431.3,4
3,Vector,30,257074.06,8569.136,4284.568,1493733000,1600000
3,Hashmap,30,2281404,76046.805,38023.402,18818832,178889
4,Sequence,40000,1234277.5,30.856,15.428,1037075.44,4
4,Vector,40,375475,9386.874,4693.437,1363606300,1600000
4,Hashmap,40,3441416.3,86035.41,43017.703,16633989,178889
5,Sequence,50000,1521957.8,30.439,15.2195,1051282.9,4
5,Vector,50,449531.72,8990.635,4495.3174,1423703700,1600000
5,Hashmap,50,4256199.5,85123.984,42561.992,16812088,178889
6,Sequence,60000,1787777,29.796,14.898,1073969.6,4
6,Vector,60,546679.1,9111.318,4555.659,1404846100,1600000
6,Hashmap,60,4822104,80368.4,40184.2,17806900,178889
7,Sequence,70000,2384215.3,34.06,17.03,939518.44,4
7,Vector,70,699817.75,9997.396,4998.698,1280333300,1600000
7,Hashmap,70,5987131.5,85530.445,42765.223,16732194,178889
8,Sequence,80000,2456884.8,30.710999,15.355499,1041972,4
8,Vector,80,786557.1,9831.964,4915.982,1301876200,1600000
8,Hashmap,80,6658670,83233.375,41616.688,17193968,178889
9,Sequence,90000,3105083.3,34.5,17.25,927536.2,4
9,Vector,90,908032.25,10089.246,5044.623,1268677600,1600000
9,Hashmap,90,7972624,88584.7,44292.35,16155294,178889
10,Sequence,100000,3172824.8,31.727999,15.863999,1008572.9,4
10,Vector,100,1019135.94,10191.358,5095.679,1255966000,1600000
10,Hashmap,100,8781592,87815.92,43907.96,16296727,178889
1,Sequence,10000,287104.16,28.71,14.355,1114594.3,4
1,Vector,10,87443.36,8744.336,4372.168,1463804700,1600000
1,Hashmap,10,855582.75,85558.28,42779.14,16726750,178889
2,Sequence,20000,629433.44,31.471,15.7355,1016809.06,4
2,Vector,20,173879.44,8693.971,4346.9854,1472284700,1600000
2,Hashmap,20,1677066.6,83853.33,41926.664,17066848,178889
3,Sequence,30000,885680.7,29.522,14.761,1083937.4,4
3,Vector,30,277811.47,9260.381,4630.1904,1382232600,1600000
3,Hashmap,30,2441649.3,81388.31,40694.156,17583754,178889
4,Sequence,40000,1230387.4,30.759,15.3795,1040345.9,4
4,Vector,40,345213.06,8630.326,4315.163,1483142100,1600000
4,Hashmap,40,3175643.5,79391.086,39695.543,18026104,178889
5,Sequence,50000,1741316,34.826,17.413,918853.75,4
5,Vector,50,443448.44,8868.968,4434.484,1443234400,1600000
5,Hashmap,50,4064948.5,81298.97,40649.484,17603076,178889
6,Sequence,60000,1794188,29.903,14.9515,1070126.8,4
6,Vector,60,534976.75,8916.279,4458.1396,1435576400,1600000
6,Hashmap,60,4740849,79014.15,39507.074,18112098,178889
7,Sequence,70000,2181320,31.160997,15.580499,1026924.75,4
7,Vector,70,647756.3,9253.662,4626.831,1383236100,1600000
7,Hashmap,70,5463696,78052.8,39026.4,18335180,178889
8,Sequence,80000,2781329.8,34.766,17.383,920439.56,4
8,Vector,80,721281.5,9016.02,4508.01,1419695200,1600000
8,Hashmap,80,7425911,92823.88,46411.94,15417497,178889
9,Sequence,90000,2774648.8,30.829,15.4145,1037983.7,4
9,Vector,90,911889.94,10132.109,5066.0547,1263310500,1600000
9,Hashmap,90,8462308,94025.65,47012.824,15220443,178889
10,Sequence,100000,3313096.3,33.13,16.565,965891.94,4
10,Vector,100,1006297.56,10062.976,5031.488,1271989500,1600000
10,Hashmap,100,9265965,92659.65,46329.824,15444825,178889
1,Sequence,10000,279671.9,27.967001,13.9835005,1144205.6,4
1,Vector,10,95185.6,9518.56,4759.28,1344741200,1600000
1,Hashmap,10,836581.6,83658.164,41829.082,17106662,178889
2,Sequence,20000,600207.7,30.01,15.005,1066311.3,4
2,Vector,20,151123.81,7556.19,3778.095,1693975400,1600000
2,Hashmap,20,1417875.6,70893.79,35446.895,20186706,178889
3,Sequence,30000,925348.3,30.844,15.422,1037478.94,4
3,Vector,30,249170.2,8305.673,4152.8364,1541115400,1600000
3,Hashmap,30,2108378,70279.266,35139.633,20363218,178889
4,Sequence,40000,1189598,29.739,14.8695,1076028.1,4
4,Vector,40,366033.25,9150.831,4575.4155,1398780000,1600000
4,Hashmap,40,3273723,81843.07,40921.535,17486050,178889
5,Sequence,50000,1491793.1,29.835001,14.9175005,1072565.8,4
5,Vector,50,445867.9,8917.357,4458.6787,1435402800,1600000
5,Hashmap,50,4014085.8,80281.72,40140.86,17826126,178889
6,Sequence,60000,1811131.5,30.185,15.0925,1060129.3,4
6,Vector,60,560134.75,9335.579,4667.7896,1371098600,1600000
6,Hashmap,60,5043624,84060.4,42030.2,17024806,178889
7,Sequence,70000,2237990.5,31.971,15.9855,1000907,4
7,Vector,70,687186.06,9816.942,4908.471,1303868300,1600000
7,Hashmap,70,5878645,83980.64,41990.32,17040974,178889
8,Sequence,80000,2635589.8,32.944,16.472,971345.3,4
8,Vector,80,777461.5,9718.269,4859.1343,1317107100,1600000
8,Hashmap,80,7244693.5,90558.67,45279.336,15803147,178889
9,Sequence,90000,2797777.3,31.086002,15.543001,1029402.25,4
9,Vector,90,880568.3,9784.092,4892.046,1308246000,1600000
9,Hashmap,90,7857953,87310.586,43655.293,16391049,178889
10,Sequence,100000,3244292.3,32.442,16.221,986375.7,4
10,Vector,100,1006510.6,10065.1045,5032.5522,1271720400,1600000
10,Hashmap,100,8537877,85378.766,42689.383,16761919,178889
1,Sequence,10000,267407.44,26.74,13.37,1196709.1,4
1,Vector,10,74494.32,7449.4316,3724.7158,1718251900,1600000
1,Hashmap,10,719029,71902.89,35951.445,19903400,178889
2,Sequence,20000,552294.25,27.614,13.807,1158832.5,4
2,Vector,20,147586.75,7379.3374,3689.6687,1734573200,1600000
2,Hashmap,20,1559925.5,77996.27,38998.137,18348466,178889
3,Sequence,30000,933237.44,31.107,15.5535,1028707.4,4
3,Vector,30,260746.72,8691.557,4345.7783,1472693600,1600000
3,Hashmap,30,2421724.8,80724.15,40362.074,17728424,178889
4,Sequence,40000,1239502.4,30.987001,15.493501,1032691.06,4
4,Vector,40,337432.16,8435.804,4217.902,1517342100,1600000
4,Hashmap,40,3257850.3,81446.25,40723.125,17571244,178889
5,Sequence,50000,1505575.3,30.111,15.0555,1062734.6,4
5,Vector,50,444862.03,8897.241,4448.6206,1438648200,1600000
5,Hashmap,50,3936005.8,78720.12,39360.06,18179750,178889
6,Sequence,60000,1939621.9,32.327,16.1635,989884.6,4
6,Vector,60,542697.25,9044.954,4522.477,1415153800,1600000
6,Hashmap,60,5032032.5,83867.21,41933.605,17064024,178889
7,Sequence,70000,2253630.3,32.194,16.097,993974.06,4
7,Vector,70,683999.4,9771.419,4885.7095,1309942800,1600000
7,Hashmap,70,5822451.5,83177.88,41588.94,17205440,178889
8,Sequence,80000,2572391.8,32.154,16.077,995210.56,4
8,Vector,80,758052.44,9475.655,4737.8276,1350830100,1600000
8,Hashmap,80,7290613.5,91132.67,45566.336,15703611,178889
9,Sequence,90000,2777771.5,30.864,15.432,1036806.6,4
9,Vector,90,903738.6,10041.539,5020.7695,1274705000,1600000
9,Hashmap,90,7866542,87406.016,43703.008,16373152,178889
10,Sequence,100000,3288619.5,32.886,16.443,973058.44,4
10,Vector,100,1018244.5,10182.444,5091.222,1257065600,1600000
10,Hashmap,100,9035346,90353.46,45176.73,15839039,178889
1,Sequence,10000,288239.25,28.823,14.4115,1110224.5,4
1,Vector,10,81186.26,8118.625,4059.3125,1576621700,1600000
1,Hashmap,10,729900.4,72990.03,36495.016,19606952,178889
2,Sequence,20000,775542,38.777,19.3885,825231.44,4
2,Vector,20,172319.66,8615.981,4307.9907,1485611300,1600000
2,Hashmap,20,1562904.1,78145.195,39072.598,18313498,178889
3,Sequence,30000,896808.6,29.893002,14.946501,1070484.8,4
3,Vector,30,251255.3,8375.176,4187.588,1528326000,1600000
3,Hashmap,30,2092940.1,69764.664,34882.332,20513422,178889
4,Sequence,40000,1432793.8,35.819,17.9095,893380.56,4
4,Vector,40,345754.66,8643.865,4321.9326,1480819000,1600000
4,Hashmap,40,3181521.5,79538.03,39769.016,17992802,178889
5,Sequence,50000,1545727.3,30.914001,15.457001,1035129.7,4
5,Vector,50,499021.25,9980.425,4990.2124,1282510500,1600000
5,Hashmap,50,4467221,89344.42,44672.21,16017923,178889
6,Sequence,60000,1825050,30.417,15.2085,1052043.3,4
6,Vector,60,558345.2,9305.753,4652.8765,1375493200,1600000
6,Hashmap,60,4916919.5,81948.664,40974.332,17463520,178889
7,Sequence,70000,2415363,34.505,17.2525,927401.8,4
7,Vector,70,688332.4,9833.319,4916.6597,1301696800,1600000
7,Hashmap,70,6788834.5,96983.34,48491.67,14756266,178889
8,Sequence,80000,2698178.3,33.727,16.8635,948794.75,4
8,Vector,80,751390.2,9392.377,4696.1885,1362807300,1600000
8,Hashmap,80,7255740,90696.75,45348.375,15779088,178889
9,Sequence,90000,2878778,31.986,15.993,1000437.7,4
9,Vector,90,922267.94,10247.422,5123.711,1249094700,1600000
9,Hashmap,90,8132137.5,90357.086,45178.543,15838403,178889
10,Sequence,100000,3266302.5,32.663,16.3315,979701.8,4
10,Vector,100,1013521.94,10135.22,5067.61,1262922900,1600000
10,Hashmap,100,9123598,91235.98,45617.99,15685830,178889
1,Sequence,10000,256760.48,25.675999,12.837999,1246300.1,4
1,Vector,10,71055.76,7105.5747,3552.7874,1801402500,1600000
1,Hashmap,10,721294.25,72129.42,36064.71,19840892,178889
2,Sequence,20000,631366.94,31.568,15.784,1013684.7,4
2,Vector,20,164746.02,8237.302,4118.651,1553907000,1600000
2,Hashmap,20,1459199.3,72959.96,36479.98,19615032,178889
3,Sequence,30000,918390.5,30.612999,15.3064995,1045307.6,4
3,Vector,30,245846.75,8194.891,4097.4453,1561948800,1600000
3,Hashmap,30,2278024.5,75934.14,37967.07,18846752,178889
4,Sequence,40000,1183461.6,29.586,14.793,1081592.6,4
4,Vector,40,344428.72,8610.717,4305.3584,1486519700,1600000
4,Hashmap,40,3391678.3,84791.96,42395.98,16877922,178889
5,Sequence,50000,1580498.5,31.609001,15.804501,1012369.9,4
5,Vector,50,457060.53,9141.21,4570.605,1400252300,1600000
5,Hashmap,50,4086800.5,81736.01,40868.004,17508954,178889
6,Sequence,60000,1810622.3,30.177,15.0885,1060410.3,4
6,Vector,60,561368.56,9356.143,4678.0713,1368085100,1600000
6,Hashmap,60,5098530,84975.49,42487.746,16841466,178889
7,Sequence,70000,2146811.3,30.668001,15.334001,1043432.9,4
7,Vector,70,651080.1,9301.144,4650.572,1376174800,1600000
7,Hashmap,70,5780070.5,82572.43,41286.215,17331596,178889
8,Sequence,80000,2463280.8,30.791002,15.395501,1039264.7,4
8,Vector,80,757735.9,9471.697,4735.8486,1351394400,1600000
8,Hashmap,80,7086660,88583.24,44291.62,16155561,178889
9,Sequence,90000,2883270.3,32.036003,16.018002,998876.25,4
9,Vector,90,897496.06,9972.179,4986.0894,1283571100,1600000
9,Hashmap,90,7578741,84208.234,42104.117,16994918,178889
10,Sequence,100000,3130480.8,31.304,15.652,1022233.56,4
10,Vector,100,948524.2,9485.241,4742.6206,1349465000,1600000
10,Hashmap,100,8942221,89422.21,44711.105,16003988,178889
1,Sequence,10000,275684.88,27.567999,13.783999,1160766.1,4
1,Vector,10,73908.13,7390.813,3695.4065,1731879800,1600000
1,Hashmap,10,728394.94,72839.5,36419.75,19647472,178889
2,Sequence,20000,695468.2,34.773,17.3865,920254.25,4
2,Vector,20,176040.16,8802.008,4401.004,1454213600,1600000
2,Hashmap,20,1667173.6,83358.68,41679.34,17168122,178889
3,Sequence,30000,894211,29.807001,14.903501,1073573.3,4
3,Vector,30,250922.83,8364.093,4182.0464,1530351400,1600000
3,Hashmap,30,2187963,72932.1,36466.05,19622526,178889
4,Sequence,40000,1280207.3,32.004997,16.002499,999843.8,4
4,Vector,40,350463.72,8761.592,4380.796,1460921700,1600000
4,Hashmap,40,3136176.5,78404.414,39202.207,18252952,178889
5,Sequence,50000,1581088.4,31.620998,15.810499,1011985.75,4
5,Vector,50,457140.75,9142.814,4571.407,1400006500,1600000
5,Hashmap,50,4508934,90178.67,45089.336,15869740,178889
6,Sequence,60000,1864033.3,31.067,15.5335,1030031.9,4
6,Vector,60,548085.75,9134.762,4567.381,1401240700,1600000
6,Hashmap,60,5001617,83360.27,41680.137,17167794,178889
7,Sequence,70000,2230749.3,31.866999,15.933499,1004173.6,4
7,Vector,70,644183.94,9202.628,4601.314,1390907100,1600000
7,Hashmap,70,5826386.5,83234.09,41617.047,17193820,178889
8,Sequence,80000,2529505.8,31.618002,15.809001,1012081.7,4
8,Vector,80,774509.44,9681.368,4840.684,1322127200,1600000
8,Hashmap,80,6791931,84899.13,42449.566,16856614,178889
9,Sequence,90000,2794374.5,31.047998,15.523999,1030662.25,4
9,Vector,90,868844.06,9653.821,4826.9106,1325899800,1600000
9,Hashmap,90,7448949,82766.09,41383.047,17291042,178889
10,Sequence,100000,3149669.8,31.496002,15.748001,1016002,4
10,Vector,100,988592.75,9885.927,4942.9634,1294769900,1600000
10,Hashmap,100,9083607,90836.06,45418.03,15754888,178889
1,Sequence,10000,284987.97,28.498,14.249,1122885.9,4
1,Vector,10,75044.06,7504.406,3752.203,1705664600,1600000
1,Hashmap,10,748554.7,74855.47,37427.734,19118336,178889
2,Sequence,20000,592377.6,29.618,14.809,1080424,4
2,Vector,20,169788.1,8489.404,4244.702,1507761900,1600000
2,Hashmap,20,1625874.3,81293.71,40646.855,17604216,178889
3,Sequence,30000,835346.2,27.844,13.922,1149260.1,4
3,Vector,30,255905.3,8530.176,4265.088,1500555100,1600000
3,Hashmap,30,2496935,83231.16,41615.58,17194426,178889
4,Sequence,40000,1177726.9,29.442999,14.721499,1086845.8,4
4,Vector,40,349338.7,8733.467,4366.7334,1465626400,1600000
4,Hashmap,40,3055674.3,76391.85,38195.926,18733830,178889
5,Sequence,50000,1489806.3,29.796,14.898,1073969.6,4
5,Vector,50,457873.3,9157.466,4578.733,1397766700,1600000
5,Hashmap,50,4059375.8,81187.516,40593.758,17627242,178889
6,Sequence,60000,1804571.8,30.076,15.038,1063971.3,4
6,Vector,60,548096.7,9134.945,4567.4727,1401212500,1600000
6,Hashmap,60,5196170.5,86602.836,43301.418,16525001,178889
7,Sequence,70000,2121403.3,30.305,15.1525,1055931.4,4
7,Vector,70,668787.3,9554.104,4777.052,1339738400,1600000
7,Hashmap,70,6290545.5,89864.94,44932.47,15925143,178889
8,Sequence,80000,2465992.8,30.824001,15.412001,1038152.06,4
8,Vector,80,761787.7,9522.346,4761.173,1344206600,1600000
8,Hashmap,80,7273713.5,90921.414,45460.707,15740098,178889
9,Sequence,90000,2858389,31.758999,15.879499,1007588.44,4
9,Vector,90,845992,9399.911,4699.9556,1361715000,1600000
9,Hashmap,90,8638804,95986.71,47993.355,14909481,178889
10,Sequence,100000,3694159.8,36.941,18.4705,866246.1,4
10,Vector,100,1114995.5,11149.954,5574.977,1147986800,1600000
10,Hashmap,100,9653591,96535.91,48267.953,14824660,178889
1,Sequence,10000,251053.81,25.105001,12.552501,1274646.5,4
1,Vector,10,76147.31,7614.73,3807.365,1680952600,1600000
1,Hashmap,10,716879.6,71687.97,35843.984,19963072,178889
2,Sequence,20000,602061.8,30.102999,15.051499,1063017,4
2,Vector,20,176345.88,8817.293,4408.6465,1451692800,1600000
2,Hashmap,20,1688655.1,84432.76,42216.38,16949724,178889
3,Sequence,30000,867967.56,28.932,14.466,1106041.8,4
3,Vector,30,236688.28,7889.609,3944.8044,1622387200,1600000
3,Hashmap,30,2305843.5,76861.45,38430.727,18619372,178889
4,Sequence,40000,1230472.1,30.761,15.3805,1040278.3,4
4,Vector,40,372766.72,9319.167,4659.5835,1373513300,1600000
4,Hashmap,40,3177253.8,79431.34,39715.67,18016968,178889
5,Sequence,50000,1443215.9,28.864,14.432,1108647.4,4
5,Vector,50,428417.7,8568.353,4284.1763,1493869300,1600000
5,Hashmap,50,3966257.8,79325.16,39662.58,18041086,178889
6,Sequence,60000,1985524.8,33.092003,16.546001,967001.06,4
6,Vector,60,560376.1,9339.601,4669.8003,1370508300,1600000
6,Hashmap,60,4906899.5,81781.66,40890.83,17499182,178889
7,Sequence,70000,2166939,30.955997,15.477999,1033725.4,4
7,Vector,70,693235.56,9903.365,4951.6826,1292490000,1600000
7,Hashmap,70,5535817,79083.11,39541.555,18096304,178889
8,Sequence,80000,2599970.8,32.499,16.2495,984645.7,4
8,Vector,80,771450.25,9643.128,4821.564,1327370100,1600000
8,Hashmap,80,6528334,81604.17,40802.086,17537240,178889
9,Sequence,90000,3046305.8,33.847,16.9235,945430.9,4
9,Vector,90,923539.5,10261.55,5130.775,1247375000,1600000
9,Hashmap,90,8379073,93100.81,46550.406,15371638,178889
10,Sequence,100000,3286723.3,32.867,16.4335,973621,4
10,Vector,100,985545.94,9855.459,4927.7295,1298772500,1600000
10,Hashmap,100,8939146,89391.45,44695.727,16009494,178889
