NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,Throughput
1,Sequence,100000,11276845,112,56,283768.44
1,Vector,1,120968,120968,60484,529064580
1,Hashmap,1,104604,104604,52302,136812050
2,Sequence,200000,20959506,104,52,305352.25
2,Vector,2,332452,166226,83113,385017180
2,Hashmap,2,239041,119520,59760,119737736
3,Sequence,300000,34970162,116,58,274520.25
3,Vector,3,737198,245732,122866,260445330
3,Hashmap,3,367612,122537,61268,116789600
4,Sequence,400000,45914702,114,57,278779.63
4,Vector,4,1164036,291009,145504,219924300
4,Hashmap,4,663851,165962,82981,86230820
5,Sequence,500000,52738199,105,52,303386.56
5,Vector,5,1993947,398789,199394,160485660
5,Hashmap,5,895596,179119,89559,79897100
6,Sequence,600000,64142136,106,53,299336.78
6,Vector,6,2686535,447755,223877,142935020
6,Hashmap,6,1125206,187534,93767,76312000
7,Sequence,700000,77535322,110,55,288902.53
7,Vector,7,3434291,490613,245306,130449016
7,Hashmap,7,1429895,204270,102135,70059550
8,Sequence,800000,95600637,119,59,267782.44
8,Vector,8,4709880,588735,294367,108707650
8,Hashmap,8,1678889,209861,104930,68193256
9,Sequence,900000,106485092,118,59,270462.16
9,Vector,9,5787958,643106,321553,99516950
9,Hashmap,9,2263742,251526,125763,56896956
10,Sequence,1000000,111687737,111,55,286515
10,Vector,10,7133433,713343,356671,89718350
10,Hashmap,10,2453161,245316,122658,58337450
1,Sequence,100000,11454744,114,57,279361.3
1,Vector,1,118656,118656,59328,539374140
1,Hashmap,1,103017,103017,51508,138919800
2,Sequence,200000,22666119,113,56,282361.25
2,Vector,2,378048,189024,94512,338580600
2,Hashmap,2,243234,121617,60808,117673280
3,Sequence,300000,35305331,117,58,271914.63
3,Vector,3,726049,242016,121008,264444770
3,Hashmap,3,350348,116782,58391,122544890
4,Sequence,400000,44650982,111,55,286669
4,Vector,4,1256089,314022,157011,203807180
4,Hashmap,4,679426,169856,84928,84254160
5,Sequence,500000,57055702,114,57,280428.72
5,Vector,5,1964804,392960,196480,162866080
5,Hashmap,5,893558,178711,89355,80079350
6,Sequence,600000,73834307,123,61,260042.08
6,Vector,6,2564313,427385,213692,149747680
6,Hashmap,6,1013025,168837,84418,84762630
7,Sequence,700000,80873852,115,57,276974.75
7,Vector,7,3706204,529457,264728,120878360
7,Hashmap,7,1370233,195747,97873,73110050
8,Sequence,800000,89101906,111,55,287312.47
8,Vector,8,4829673,603709,301854,106011310
8,Hashmap,8,1728186,216023,108011,66248050
9,Sequence,900000,98624426,109,54,292018.78
9,Vector,9,5970040,663337,331668,96481770
9,Hashmap,9,2112900,234766,117383,60958890
10,Sequence,1000000,124872863,124,62,256262.42
10,Vector,10,7171500,717150,358575,89242130
10,Hashmap,10,2421552,242155,121077,59098948
1,Sequence,100000,10844752,108,54,295075.03
1,Vector,1,113313,113313,56656,564805700
1,Hashmap,1,91973,91973,45986,155599680
2,Sequence,200000,24817239,124,62,257885.66
2,Vector,2,326664,163332,81666,391839600
2,Hashmap,2,219368,109684,54842,130475650
3,Sequence,300000,36895663,122,61,260194.33
3,Vector,3,715649,238549,119274,268287650
3,Hashmap,3,354373,118124,59062,121152750
4,Sequence,400000,42855395,107,53,298680.2
4,Vector,4,1200393,300098,150049,213263330
4,Hashmap,4,642833,160708,80354,89050230
5,Sequence,500000,54557026,109,54,293271.25
5,Vector,5,1845871,369174,184587,173359870
5,Hashmap,5,887145,177429,88714,80658216
6,Sequence,600000,74853747,124,62,256500.69
6,Vector,6,2766015,461002,230501,138827840
6,Hashmap,6,1059637,176606,88303,81034040
7,Sequence,700000,80762057,115,57,277358.84
7,Vector,7,3594758,513536,256768,124625910
7,Hashmap,7,1460559,208651,104325,68588660
8,Sequence,800000,87403660,109,54,292895.47
8,Vector,8,4567208,570901,285450,112103500
8,Hashmap,8,1631807,203975,101987,70160840
9,Sequence,900000,110563294,122,61,260484.52
9,Vector,9,5873847,652649,326324,98061790
9,Hashmap,9,2101511,233501,116750,61289250
10,Sequence,1000000,121986701,121,60,262325.2
10,Vector,10,7158450,715845,357922,89404824
10,Hashmap,10,2437229,243722,121861,58718810
1,Sequence,100000,9907865,99,49,322977.84
1,Vector,1,113570,113570,56785,563528770
1,Hashmap,1,90351,90351,45175,158394320
2,Sequence,200000,20174447,100,50,317233.72
2,Vector,2,381357,190678,95339,335643500
2,Hashmap,2,259889,129944,64972,110132456
3,Sequence,300000,35673956,118,59,269104.3
3,Vector,3,672600,224200,112100,285459200
3,Hashmap,3,411787,137262,68631,104260840
4,Sequence,400000,45767843,114,57,279673.8
4,Vector,4,1130268,282567,141283,226494800
4,Hashmap,4,711570,177892,88946,80448090
5,Sequence,500000,56544801,113,56,282962.97
5,Vector,5,1973528,394705,197352,162146180
5,Hashmap,5,841820,168364,84182,85001064
6,Sequence,600000,67541894,112,56,284270.1
6,Vector,6,2491953,415325,207662,154096000
6,Hashmap,6,1244190,207365,103682,69014136
7,Sequence,700000,87098641,124,62,257180.97
7,Vector,7,3722500,531785,265892,120349200
7,Hashmap,7,1399739,199962,99981,71568936
8,Sequence,800000,89031476,111,55,287539.66
8,Vector,8,4735240,591905,295952,108125460
8,Hashmap,8,1810010,226251,113125,63253216
9,Sequence,900000,112802320,125,62,255315.75
9,Vector,9,6329699,703299,351649,90999590
9,Hashmap,9,2114477,234941,117470,60913436
10,Sequence,1000000,124449712,124,62,257133.45
10,Vector,10,7018237,701823,350911,91190984
10,Hashmap,10,2633291,263329,131664,54346876
1,Sequence,100000,9935447,99,49,322080.63
1,Vector,1,128614,128614,64307,497610400
1,Hashmap,1,113956,113956,56978,125583620
2,Sequence,200000,21603569,108,54,296249.7
2,Vector,2,349736,174868,87434,365990100
2,Hashmap,2,231642,115821,57910,123562216
3,Sequence,300000,34979023,116,58,274451.97
3,Vector,3,750150,250050,125025,255948700
3,Hashmap,3,394226,131408,65704,108905250
4,Sequence,400000,47574423,118,59,269052.28
4,Vector,4,1222203,305550,152775,209457710
4,Hashmap,4,566802,141700,70850,100995470
5,Sequence,500000,53844216,107,53,297154.75
5,Vector,5,1924913,384982,192491,166241250
5,Hashmap,5,968717,193743,96871,73866300
6,Sequence,600000,66521246,110,55,288631.53
6,Vector,6,2600991,433498,216749,147636020
6,Hashmap,6,1175978,195996,97998,73017290
7,Sequence,700000,78057594,111,55,286969.78
7,Vector,7,3407670,486810,243405,131468120
7,Hashmap,7,1618456,231208,115604,61897160
8,Sequence,800000,96613196,120,60,264975.25
8,Vector,8,4993385,624173,312086,102535650
8,Hashmap,8,1689126,211140,105570,67779990
9,Sequence,900000,103448467,114,57,278401.28
9,Vector,9,5634373,626041,313020,102229650
9,Hashmap,9,2015296,223921,111960,63911244
10,Sequence,1000000,119629710,119,59,267493.66
10,Vector,10,7105081,710508,355254,90076376
10,Hashmap,10,2406711,240671,120335,59463390
1,Sequence,100000,11183141,111,55,286146.06
1,Vector,1,120804,120804,60402,529783070
1,Hashmap,1,99084,99084,49542,144432940
2,Sequence,200000,21964286,109,54,291383.25
2,Vector,2,353800,176900,88450,361785440
2,Hashmap,2,245738,122869,61434,116474330
3,Sequence,300000,30891820,102,51,310764.1
3,Vector,3,710075,236691,118345,270393760
3,Hashmap,3,440377,146792,73396,97492150
4,Sequence,400000,43566802,108,54,293801.72
